system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	8850.0	2150.0
Musculoskeletal System	Joint	1920.0	2150.0
Nervous System	Nervous System	7240.0	2150.0
Cardiovascular System	Heart	5780.0	2150.0
Cardiovascular System	Vascular	2220.0	2150.0
Urogenital System	Kidney	5440.0	2150.0
Urogenital System	Testes	5320.0	2150.0
Urogenital System	Uterus	3420.0	2150.0
Urogenital System	Placenta	2490.0	2150.0
Urogenital System	Bladder	2200.0	2150.0
Urogenital System	Ovary	2170.0	2150.0
Urogenital System	Vagina	2020.0	2150.0
Urogenital System	Prostate gland	1690.0	2150.0
Urogenital System	Penis	1420.0	2150.0
Urogenital System	Urethra	1390.0	2150.0
Digestive System	Colon	5120.0	2150.0
Digestive System	Tongue	4770.0	2150.0
Digestive System	Liver	4180.0	2150.0
Digestive System	Stomach	2430.0	2150.0
Digestive System	Salivary gland	2370.0	2150.0
Digestive System	Small intestine	2230.0	2150.0
Digestive System	Pancreas	2220.0	2150.0
Digestive System	Esophagus	1410.0	2150.0
Digestive System	Peritoneum	1300.0	2150.0
Endocrine System	Pituitary gland	4420.0	2150.0
Endocrine System	Thyroid gland	3200.0	2150.0
Endocrine System	Adrenal gland	3090.0	2150.0
Endocrine System	Adipose tissue	2370.0	2150.0
Olfactory System	Nervous System	3870.0	2150.0
Respiratory System	Lung	3700.0	2150.0
Immune System	Immune System	3380.0	2150.0
Visual System	Eye	2650.0	2150.0
Exocrine System	Mammary gland	1910.0	2150.0
Integumentary System	Skin	1830.0	2150.0
