system	organ	exp	control
Digestive System	Colon	1930.0	571.0
Digestive System	Liver	1520.0	139.0
Digestive System	Small intestine	1460.0	571.0
Digestive System	Salivary gland	982.0	571.0
Digestive System	Tongue	822.0	571.0
Digestive System	Peritoneum	663.0	571.0
Digestive System	Stomach	639.0	571.0
Digestive System	Esophagus	568.0	571.0
Digestive System	Pancreas	534.0	571.0
Immune System	Immune System	1900.0	571.0
Urogenital System	Kidney	1210.0	571.0
Urogenital System	Uterus	777.0	571.0
Urogenital System	Vagina	763.0	571.0
Urogenital System	Bladder	653.0	571.0
Urogenital System	Testes	603.0	571.0
Urogenital System	Ovary	593.0	571.0
Urogenital System	Penis	490.0	571.0
Urogenital System	Prostate gland	462.0	571.0
Urogenital System	Urethra	442.0	571.0
Urogenital System	Placenta	370.0	315.0
Nervous System	Nervous System	1080.0	571.0
Cardiovascular System	Vascular	1060.0	571.0
Cardiovascular System	Heart	885.0	571.0
Musculoskeletal System	Skeletal Muscle	812.0	571.0
Musculoskeletal System	Joint	540.0	571.0
Endocrine System	Adrenal gland	787.0	571.0
Endocrine System	Adipose tissue	655.0	571.0
Endocrine System	Pituitary gland	581.0	571.0
Endocrine System	Thyroid gland	492.0	571.0
Respiratory System	Lung	769.0	571.0
Exocrine System	Mammary gland	751.0	571.0
Olfactory System	Nervous System	553.0	315.0
Integumentary System	Skin	416.0	571.0
Visual System	Eye	407.0	571.0
