system	organ	exp	control
Nervous System	Nervous System	1690.0	532.0
Cardiovascular System	Vascular	1370.0	532.0
Cardiovascular System	Heart	1100.0	532.0
Immune System	Immune System	1160.0	532.0
Musculoskeletal System	Joint	1030.0	532.0
Musculoskeletal System	Skeletal Muscle	623.0	532.0
Digestive System	Peritoneum	971.0	532.0
Digestive System	Small intestine	894.0	532.0
Digestive System	Liver	616.0	532.0
Digestive System	Colon	614.0	532.0
Digestive System	Pancreas	589.0	532.0
Digestive System	Tongue	569.0	532.0
Digestive System	Salivary gland	488.0	532.0
Digestive System	Esophagus	473.0	532.0
Digestive System	Stomach	428.0	532.0
Visual System	Eye	864.0	287.0
Urogenital System	Vagina	849.0	532.0
Urogenital System	Uterus	848.0	532.0
Urogenital System	Ovary	794.0	532.0
Urogenital System	Testes	647.0	532.0
Urogenital System	Kidney	624.0	532.0
Urogenital System	Urethra	624.0	532.0
Urogenital System	Bladder	595.0	532.0
Urogenital System	Placenta	454.0	532.0
Urogenital System	Penis	383.0	532.0
Urogenital System	Prostate gland	372.0	532.0
Endocrine System	Adrenal gland	745.0	532.0
Endocrine System	Adipose tissue	663.0	532.0
Endocrine System	Thyroid gland	619.0	532.0
Endocrine System	Pituitary gland	443.0	532.0
Exocrine System	Mammary gland	703.0	532.0
Respiratory System	Lung	605.0	532.0
Olfactory System	Nervous System	589.0	532.0
Integumentary System	Skin	447.0	532.0
