system	organ	exp	control
Nervous System	Nervous System	2780.0	258.0
Cardiovascular System	Vascular	1010.0	258.0
Cardiovascular System	Heart	462.0	258.0
Musculoskeletal System	Joint	591.0	258.0
Musculoskeletal System	Skeletal Muscle	276.0	258.0
Immune System	Immune System	566.0	258.0
Urogenital System	Vagina	388.0	258.0
Urogenital System	Urethra	377.0	258.0
Urogenital System	Uterus	347.0	258.0
Urogenital System	Ovary	287.0	258.0
Urogenital System	Testes	272.0	258.0
Urogenital System	Penis	269.0	258.0
Urogenital System	Kidney	246.0	258.0
Urogenital System	Bladder	231.0	258.0
Urogenital System	Prostate gland	224.0	258.0
Urogenital System	Placenta	211.0	258.0
Digestive System	Tongue	352.0	258.0
Digestive System	Colon	352.0	258.0
Digestive System	Peritoneum	299.0	258.0
Digestive System	Stomach	270.0	258.0
Digestive System	Esophagus	256.0	258.0
Digestive System	Pancreas	237.0	258.0
Digestive System	Small intestine	225.0	258.0
Digestive System	Liver	224.0	258.0
Digestive System	Salivary gland	217.0	258.0
Exocrine System	Mammary gland	348.0	258.0
Endocrine System	Pituitary gland	286.0	258.0
Endocrine System	Adrenal gland	282.0	258.0
Endocrine System	Thyroid gland	277.0	258.0
Endocrine System	Adipose tissue	249.0	258.0
Olfactory System	Nervous System	285.0	258.0
Respiratory System	Lung	250.0	258.0
Integumentary System	Skin	221.0	258.0
Visual System	Eye	149.0	258.0
