system	organ	exp	control
Cardiovascular System	Vascular	757.0	394.0
Cardiovascular System	Heart	498.0	394.0
Immune System	Immune System	748.0	394.0
Nervous System	Nervous System	610.0	394.0
Digestive System	Tongue	564.0	394.0
Digestive System	Colon	549.0	394.0
Digestive System	Salivary gland	523.0	394.0
Digestive System	Pancreas	508.0	394.0
Digestive System	Small intestine	475.0	394.0
Digestive System	Liver	456.0	394.0
Digestive System	Peritoneum	434.0	394.0
Digestive System	Stomach	404.0	394.0
Digestive System	Esophagus	367.0	394.0
Urogenital System	Ovary	497.0	394.0
Urogenital System	Bladder	463.0	394.0
Urogenital System	Uterus	459.0	394.0
Urogenital System	Testes	441.0	394.0
Urogenital System	Vagina	419.0	394.0
Urogenital System	Kidney	386.0	394.0
Urogenital System	Prostate gland	353.0	394.0
Urogenital System	Placenta	353.0	394.0
Urogenital System	Penis	353.0	394.0
Urogenital System	Urethra	302.0	394.0
Respiratory System	Lung	481.0	394.0
Musculoskeletal System	Skeletal Muscle	473.0	394.0
Musculoskeletal System	Joint	457.0	394.0
Exocrine System	Mammary gland	466.0	394.0
Endocrine System	Thyroid gland	442.0	394.0
Endocrine System	Adrenal gland	389.0	394.0
Endocrine System	Pituitary gland	365.0	394.0
Endocrine System	Adipose tissue	356.0	394.0
Visual System	Eye	436.0	394.0
Olfactory System	Nervous System	373.0	394.0
Integumentary System	Skin	341.0	394.0
