system	organ	exp	control
Urogenital System	Prostate gland	6090.0	1290.0
Urogenital System	Uterus	5140.0	1730.0
Urogenital System	Kidney	4680.0	1730.0
Urogenital System	Ovary	3610.0	1730.0
Urogenital System	Placenta	2860.0	1730.0
Urogenital System	Urethra	1930.0	1290.0
Urogenital System	Vagina	1850.0	1730.0
Urogenital System	Penis	1610.0	1730.0
Urogenital System	Testes	1290.0	1730.0
Urogenital System	Bladder	1140.0	1290.0
Exocrine System	Mammary gland	5870.0	1730.0
Nervous System	Nervous System	5150.0	1730.0
Immune System	Immune System	4790.0	1730.0
Cardiovascular System	Vascular	4540.0	1730.0
Cardiovascular System	Heart	2220.0	1730.0
Digestive System	Peritoneum	3660.0	1730.0
Digestive System	Pancreas	2550.0	1730.0
Digestive System	Small intestine	2490.0	1730.0
Digestive System	Stomach	2150.0	1730.0
Digestive System	Colon	1930.0	1730.0
Digestive System	Tongue	1910.0	1730.0
Digestive System	Salivary gland	1800.0	1730.0
Digestive System	Esophagus	1290.0	1290.0
Digestive System	Liver	641.0	1730.0
Endocrine System	Thyroid gland	3180.0	1730.0
Endocrine System	Adrenal gland	2590.0	1730.0
Endocrine System	Pituitary gland	2160.0	1730.0
Endocrine System	Adipose tissue	1400.0	1290.0
Respiratory System	Lung	2530.0	1730.0
Musculoskeletal System	Joint	2060.0	1730.0
Musculoskeletal System	Skeletal Muscle	831.0	1730.0
Integumentary System	Skin	1620.0	1730.0
Olfactory System	Nervous System	1340.0	1290.0
Visual System	Eye	773.0	1290.0
