system	organ	exp	control
Immune System	Immune System	1620.0	354.0
Digestive System	Small intestine	670.0	354.0
Digestive System	Colon	574.0	354.0
Digestive System	Salivary gland	509.0	354.0
Digestive System	Stomach	456.0	354.0
Digestive System	Esophagus	439.0	354.0
Digestive System	Tongue	414.0	354.0
Digestive System	Pancreas	385.0	354.0
Digestive System	Liver	368.0	354.0
Digestive System	Peritoneum	291.0	354.0
Integumentary System	Skin	480.0	354.0
Urogenital System	Bladder	459.0	354.0
Urogenital System	Urethra	451.0	354.0
Urogenital System	Penis	392.0	354.0
Urogenital System	Uterus	392.0	354.0
Urogenital System	Testes	357.0	354.0
Urogenital System	Vagina	353.0	354.0
Urogenital System	Placenta	342.0	354.0
Urogenital System	Prostate gland	338.0	354.0
Urogenital System	Ovary	333.0	354.0
Urogenital System	Kidney	323.0	354.0
Nervous System	Nervous System	452.0	354.0
Musculoskeletal System	Joint	446.0	354.0
Musculoskeletal System	Skeletal Muscle	315.0	354.0
Cardiovascular System	Heart	445.0	354.0
Cardiovascular System	Vascular	391.0	354.0
Visual System	Eye	421.0	354.0
Exocrine System	Mammary gland	408.0	354.0
Respiratory System	Lung	393.0	354.0
Endocrine System	Thyroid gland	381.0	354.0
Endocrine System	Adipose tissue	374.0	354.0
Endocrine System	Pituitary gland	323.0	354.0
Endocrine System	Adrenal gland	322.0	354.0
Olfactory System	Nervous System	312.0	354.0
