system	organ	exp	control
Immune System	Immune System	13500.0	1220.0
Cardiovascular System	Vascular	5290.0	1220.0
Cardiovascular System	Heart	1680.0	1220.0
Respiratory System	Lung	4110.0	1220.0
Nervous System	Nervous System	2880.0	1220.0
Digestive System	Small intestine	2490.0	1220.0
Digestive System	Colon	2100.0	1220.0
Digestive System	Stomach	1980.0	1220.0
Digestive System	Tongue	1610.0	1220.0
Digestive System	Liver	1450.0	1220.0
Digestive System	Pancreas	1440.0	1220.0
Digestive System	Salivary gland	900.0	1220.0
Digestive System	Esophagus	850.0	1220.0
Digestive System	Peritoneum	611.0	1220.0
Urogenital System	Placenta	2380.0	1220.0
Urogenital System	Bladder	1520.0	1220.0
Urogenital System	Testes	1460.0	1220.0
Urogenital System	Uterus	1410.0	1220.0
Urogenital System	Vagina	1240.0	1220.0
Urogenital System	Prostate gland	1220.0	1220.0
Urogenital System	Penis	1160.0	1220.0
Urogenital System	Urethra	1120.0	1220.0
Urogenital System	Ovary	1030.0	1220.0
Urogenital System	Kidney	962.0	1220.0
Visual System	Eye	2040.0	1220.0
Endocrine System	Adipose tissue	1780.0	1220.0
Endocrine System	Thyroid gland	1400.0	1220.0
Endocrine System	Adrenal gland	1050.0	1220.0
Endocrine System	Pituitary gland	714.0	1220.0
Exocrine System	Mammary gland	1730.0	1220.0
Musculoskeletal System	Skeletal Muscle	1380.0	1220.0
Musculoskeletal System	Joint	1050.0	1220.0
Olfactory System	Nervous System	1260.0	1220.0
Integumentary System	Skin	933.0	1220.0
