system	organ	exp	control
Immune System	Immune System	17600.0	395.0
Cardiovascular System	Vascular	1280.0	395.0
Cardiovascular System	Heart	880.0	395.0
Musculoskeletal System	Skeletal Muscle	1140.0	395.0
Musculoskeletal System	Joint	640.0	395.0
Digestive System	Small intestine	850.0	395.0
Digestive System	Tongue	750.0	395.0
Digestive System	Peritoneum	728.0	395.0
Digestive System	Stomach	653.0	395.0
Digestive System	Colon	518.0	395.0
Digestive System	Esophagus	360.0	395.0
Digestive System	Liver	319.0	395.0
Digestive System	Pancreas	290.0	395.0
Digestive System	Salivary gland	252.0	395.0
Urogenital System	Vagina	711.0	395.0
Urogenital System	Uterus	574.0	395.0
Urogenital System	Ovary	554.0	395.0
Urogenital System	Urethra	518.0	395.0
Urogenital System	Penis	463.0	395.0
Urogenital System	Bladder	426.0	395.0
Urogenital System	Placenta	412.0	395.0
Urogenital System	Testes	396.0	395.0
Urogenital System	Prostate gland	364.0	395.0
Urogenital System	Kidney	349.0	395.0
Nervous System	Nervous System	619.0	395.0
Respiratory System	Lung	549.0	395.0
Endocrine System	Adipose tissue	546.0	395.0
Endocrine System	Adrenal gland	293.0	395.0
Endocrine System	Thyroid gland	283.0	395.0
Endocrine System	Pituitary gland	235.0	395.0
Integumentary System	Skin	481.0	395.0
Exocrine System	Mammary gland	428.0	395.0
Visual System	Eye	415.0	395.0
Olfactory System	Nervous System	264.0	395.0
