system	organ	exp	control
Immune System	Immune System	21500.0	5440.0
Cardiovascular System	Vascular	18900.0	5440.0
Cardiovascular System	Heart	12100.0	5440.0
Digestive System	Stomach	16100.0	5440.0
Digestive System	Salivary gland	15400.0	5440.0
Digestive System	Colon	7830.0	5440.0
Digestive System	Pancreas	6750.0	5440.0
Digestive System	Small intestine	6110.0	5440.0
Digestive System	Tongue	5170.0	5440.0
Digestive System	Esophagus	4730.0	5440.0
Digestive System	Liver	3430.0	5440.0
Digestive System	Peritoneum	1910.0	5440.0
Respiratory System	Lung	15500.0	5440.0
Endocrine System	Adipose tissue	14700.0	5440.0
Endocrine System	Thyroid gland	11100.0	5440.0
Endocrine System	Adrenal gland	5100.0	5440.0
Endocrine System	Pituitary gland	3700.0	5440.0
Exocrine System	Mammary gland	12000.0	5440.0
Nervous System	Nervous System	11300.0	5440.0
Urogenital System	Uterus	9860.0	5440.0
Urogenital System	Urethra	9750.0	5440.0
Urogenital System	Vagina	9270.0	5440.0
Urogenital System	Penis	8980.0	5440.0
Urogenital System	Ovary	7870.0	5440.0
Urogenital System	Prostate gland	7570.0	5440.0
Urogenital System	Kidney	6060.0	5440.0
Urogenital System	Bladder	5610.0	5440.0
Urogenital System	Placenta	2760.0	5440.0
Urogenital System	Testes	2620.0	5440.0
Musculoskeletal System	Joint	7390.0	5440.0
Musculoskeletal System	Skeletal Muscle	5420.0	5440.0
Integumentary System	Skin	5110.0	5440.0
Visual System	Eye	4910.0	5440.0
Olfactory System	Nervous System	4700.0	5440.0
