system	organ	exp	control
Immune System	Immune System	7160.0	935.0
Cardiovascular System	Heart	4320.0	935.0
Cardiovascular System	Vascular	4040.0	935.0
Digestive System	Liver	3810.0	935.0
Digestive System	Colon	2260.0	935.0
Digestive System	Stomach	1910.0	935.0
Digestive System	Small intestine	1690.0	935.0
Digestive System	Pancreas	1170.0	935.0
Digestive System	Salivary gland	1100.0	935.0
Digestive System	Esophagus	885.0	935.0
Digestive System	Tongue	883.0	935.0
Digestive System	Peritoneum	680.0	935.0
Endocrine System	Pituitary gland	3390.0	935.0
Endocrine System	Adrenal gland	989.0	935.0
Endocrine System	Thyroid gland	905.0	935.0
Endocrine System	Adipose tissue	651.0	935.0
Nervous System	Nervous System	3290.0	935.0
Exocrine System	Mammary gland	2280.0	935.0
Urogenital System	Testes	2030.0	935.0
Urogenital System	Uterus	1820.0	935.0
Urogenital System	Bladder	1390.0	935.0
Urogenital System	Vagina	1120.0	935.0
Urogenital System	Urethra	1090.0	935.0
Urogenital System	Prostate gland	1060.0	935.0
Urogenital System	Ovary	1010.0	935.0
Urogenital System	Kidney	785.0	935.0
Urogenital System	Placenta	752.0	935.0
Urogenital System	Penis	727.0	935.0
Olfactory System	Nervous System	1390.0	935.0
Respiratory System	Lung	1180.0	935.0
Musculoskeletal System	Skeletal Muscle	1030.0	935.0
Musculoskeletal System	Joint	549.0	935.0
Integumentary System	Skin	650.0	935.0
Visual System	Eye	552.0	935.0
