system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	8370.0	1380.0
Musculoskeletal System	Joint	888.0	1380.0
Digestive System	Colon	5310.0	1380.0
Digestive System	Tongue	4040.0	1380.0
Digestive System	Pancreas	2800.0	1380.0
Digestive System	Liver	2520.0	1380.0
Digestive System	Salivary gland	1510.0	1380.0
Digestive System	Small intestine	1470.0	1380.0
Digestive System	Stomach	1060.0	1380.0
Digestive System	Peritoneum	957.0	1380.0
Digestive System	Esophagus	736.0	1380.0
Nervous System	Nervous System	5250.0	1380.0
Urogenital System	Testes	3640.0	1380.0
Urogenital System	Uterus	3150.0	1380.0
Urogenital System	Kidney	2440.0	1380.0
Urogenital System	Placenta	1820.0	1380.0
Urogenital System	Bladder	1530.0	1380.0
Urogenital System	Ovary	1340.0	1380.0
Urogenital System	Vagina	1170.0	1380.0
Urogenital System	Prostate gland	979.0	1380.0
Urogenital System	Penis	820.0	1380.0
Urogenital System	Urethra	628.0	1380.0
Cardiovascular System	Heart	3600.0	1380.0
Cardiovascular System	Vascular	1540.0	1380.0
Endocrine System	Adrenal gland	3180.0	1380.0
Endocrine System	Thyroid gland	2970.0	1380.0
Endocrine System	Pituitary gland	1360.0	1380.0
Endocrine System	Adipose tissue	1110.0	1380.0
Olfactory System	Nervous System	2950.0	1380.0
Respiratory System	Lung	2320.0	1380.0
Immune System	Immune System	2320.0	1380.0
Integumentary System	Skin	1100.0	1380.0
Exocrine System	Mammary gland	823.0	1380.0
Visual System	Eye	741.0	1380.0
