system	organ	exp	control
Immune System	Immune System	210.0	96.0
Musculoskeletal System	Joint	157.0	96.0
Musculoskeletal System	Skeletal Muscle	105.0	96.0
Nervous System	Nervous System	139.0	96.0
Digestive System	Colon	137.0	96.0
Digestive System	Stomach	111.0	96.0
Digestive System	Esophagus	103.0	96.0
Digestive System	Small intestine	101.0	96.0
Digestive System	Salivary gland	99.7	96.0
Digestive System	Tongue	97.1	96.0
Digestive System	Peritoneum	93.2	96.0
Digestive System	Liver	91.6	96.0
Digestive System	Pancreas	90.0	96.0
Urogenital System	Ovary	115.0	96.0
Urogenital System	Uterus	112.0	96.0
Urogenital System	Vagina	99.0	96.0
Urogenital System	Urethra	98.3	96.0
Urogenital System	Bladder	95.8	96.0
Urogenital System	Penis	95.5	96.0
Urogenital System	Prostate gland	93.6	96.0
Urogenital System	Kidney	93.3	96.0
Urogenital System	Testes	92.8	96.0
Urogenital System	Placenta	92.6	96.0
Endocrine System	Adipose tissue	115.0	96.0
Endocrine System	Thyroid gland	98.0	96.0
Endocrine System	Adrenal gland	97.6	96.0
Endocrine System	Pituitary gland	93.9	96.0
Cardiovascular System	Heart	106.0	96.0
Cardiovascular System	Vascular	102.0	96.0
Exocrine System	Mammary gland	101.0	96.0
Olfactory System	Nervous System	99.4	96.0
Integumentary System	Skin	99.1	96.0
Respiratory System	Lung	96.6	96.0
Visual System	Eye	87.4	96.0
