system	organ	exp	control
Urogenital System	Vagina	3770.0	684.0
Urogenital System	Penis	2140.0	684.0
Urogenital System	Uterus	877.0	684.0
Urogenital System	Testes	803.0	684.0
Urogenital System	Kidney	704.0	684.0
Urogenital System	Ovary	681.0	684.0
Urogenital System	Bladder	632.0	684.0
Urogenital System	Urethra	607.0	684.0
Urogenital System	Prostate gland	555.0	684.0
Urogenital System	Placenta	477.0	511.0
Immune System	Immune System	3390.0	684.0
Digestive System	Colon	2300.0	684.0
Digestive System	Tongue	1730.0	684.0
Digestive System	Esophagus	1470.0	684.0
Digestive System	Salivary gland	1010.0	684.0
Digestive System	Liver	978.0	684.0
Digestive System	Small intestine	818.0	684.0
Digestive System	Stomach	818.0	684.0
Digestive System	Peritoneum	775.0	684.0
Digestive System	Pancreas	723.0	511.0
Respiratory System	Lung	2040.0	684.0
Exocrine System	Mammary gland	1800.0	684.0
Integumentary System	Skin	1390.0	684.0
Endocrine System	Adipose tissue	1270.0	684.0
Endocrine System	Thyroid gland	1120.0	684.0
Endocrine System	Adrenal gland	814.0	684.0
Endocrine System	Pituitary gland	686.0	684.0
Musculoskeletal System	Skeletal Muscle	1100.0	684.0
Musculoskeletal System	Joint	735.0	684.0
Cardiovascular System	Heart	1040.0	684.0
Cardiovascular System	Vascular	960.0	684.0
Nervous System	Nervous System	995.0	684.0
Olfactory System	Nervous System	795.0	511.0
Visual System	Eye	682.0	684.0
