system	organ	exp	control
Immune System	Immune System	31000.0	678.0
Urogenital System	Placenta	2640.0	678.0
Urogenital System	Uterus	1740.0	678.0
Urogenital System	Penis	907.0	639.0
Urogenital System	Bladder	871.0	678.0
Urogenital System	Urethra	783.0	678.0
Urogenital System	Vagina	720.0	639.0
Urogenital System	Prostate gland	631.0	639.0
Urogenital System	Kidney	617.0	678.0
Urogenital System	Ovary	536.0	678.0
Urogenital System	Testes	409.0	639.0
Visual System	Eye	2190.0	678.0
Respiratory System	Lung	1920.0	678.0
Digestive System	Small intestine	1800.0	678.0
Digestive System	Tongue	1590.0	678.0
Digestive System	Stomach	1430.0	678.0
Digestive System	Colon	1280.0	678.0
Digestive System	Pancreas	1120.0	639.0
Digestive System	Salivary gland	1070.0	678.0
Digestive System	Peritoneum	834.0	678.0
Digestive System	Liver	795.0	678.0
Digestive System	Esophagus	659.0	678.0
Musculoskeletal System	Joint	1460.0	639.0
Musculoskeletal System	Skeletal Muscle	686.0	678.0
Exocrine System	Mammary gland	1270.0	678.0
Endocrine System	Adipose tissue	1240.0	678.0
Endocrine System	Thyroid gland	1010.0	678.0
Endocrine System	Adrenal gland	674.0	678.0
Endocrine System	Pituitary gland	606.0	639.0
Cardiovascular System	Heart	1070.0	678.0
Cardiovascular System	Vascular	855.0	678.0
Nervous System	Nervous System	927.0	678.0
Integumentary System	Skin	623.0	678.0
Olfactory System	Nervous System	397.0	639.0
