system	organ	exp	control
Urogenital System	Bladder	2300.0	856.0
Urogenital System	Uterus	1120.0	856.0
Urogenital System	Ovary	973.0	856.0
Urogenital System	Vagina	927.0	856.0
Urogenital System	Kidney	881.0	856.0
Urogenital System	Testes	841.0	856.0
Urogenital System	Penis	795.0	856.0
Urogenital System	Prostate gland	697.0	856.0
Urogenital System	Placenta	691.0	856.0
Urogenital System	Urethra	620.0	856.0
Immune System	Immune System	1970.0	856.0
Nervous System	Nervous System	1570.0	856.0
Cardiovascular System	Vascular	1480.0	856.0
Cardiovascular System	Heart	1370.0	856.0
Digestive System	Pancreas	1260.0	856.0
Digestive System	Colon	1070.0	856.0
Digestive System	Peritoneum	1040.0	856.0
Digestive System	Liver	1020.0	856.0
Digestive System	Tongue	968.0	856.0
Digestive System	Small intestine	965.0	856.0
Digestive System	Salivary gland	896.0	856.0
Digestive System	Stomach	862.0	856.0
Digestive System	Esophagus	758.0	856.0
Musculoskeletal System	Skeletal Muscle	1240.0	856.0
Musculoskeletal System	Joint	884.0	856.0
Endocrine System	Pituitary gland	1080.0	856.0
Endocrine System	Adrenal gland	975.0	856.0
Endocrine System	Adipose tissue	966.0	856.0
Endocrine System	Thyroid gland	884.0	856.0
Respiratory System	Lung	992.0	856.0
Exocrine System	Mammary gland	957.0	856.0
Olfactory System	Nervous System	894.0	856.0
Integumentary System	Skin	784.0	856.0
Visual System	Eye	778.0	856.0
