system	organ	exp	control
Immune System	Immune System	1300.0	358.0
Digestive System	Colon	1000.0	358.0
Digestive System	Small intestine	975.0	358.0
Digestive System	Esophagus	518.0	358.0
Digestive System	Salivary gland	468.0	358.0
Digestive System	Tongue	399.0	358.0
Digestive System	Stomach	397.0	358.0
Digestive System	Peritoneum	373.0	358.0
Digestive System	Liver	294.0	358.0
Digestive System	Pancreas	249.0	358.0
Integumentary System	Skin	604.0	358.0
Musculoskeletal System	Joint	575.0	358.0
Musculoskeletal System	Skeletal Muscle	416.0	358.0
Urogenital System	Penis	560.0	358.0
Urogenital System	Urethra	558.0	358.0
Urogenital System	Testes	528.0	358.0
Urogenital System	Prostate gland	480.0	358.0
Urogenital System	Uterus	480.0	358.0
Urogenital System	Kidney	424.0	358.0
Urogenital System	Ovary	379.0	358.0
Urogenital System	Bladder	372.0	358.0
Urogenital System	Vagina	365.0	358.0
Urogenital System	Placenta	338.0	358.0
Exocrine System	Mammary gland	521.0	358.0
Visual System	Eye	500.0	358.0
Cardiovascular System	Heart	484.0	358.0
Cardiovascular System	Vascular	474.0	358.0
Endocrine System	Adipose tissue	454.0	358.0
Endocrine System	Thyroid gland	409.0	358.0
Endocrine System	Adrenal gland	371.0	358.0
Endocrine System	Pituitary gland	268.0	358.0
Respiratory System	Lung	405.0	358.0
Nervous System	Nervous System	389.0	358.0
Olfactory System	Nervous System	163.0	358.0
