system	organ	exp	control
Nervous System	Nervous System	2040.0	467.0
Digestive System	Colon	1320.0	467.0
Digestive System	Esophagus	604.0	467.0
Digestive System	Tongue	568.0	467.0
Digestive System	Peritoneum	501.0	467.0
Digestive System	Small intestine	417.0	467.0
Digestive System	Stomach	407.0	467.0
Digestive System	Pancreas	348.0	467.0
Digestive System	Liver	338.0	467.0
Digestive System	Salivary gland	311.0	467.0
Cardiovascular System	Vascular	874.0	467.0
Cardiovascular System	Heart	682.0	467.0
Endocrine System	Adipose tissue	725.0	467.0
Endocrine System	Pituitary gland	590.0	467.0
Endocrine System	Thyroid gland	402.0	467.0
Endocrine System	Adrenal gland	339.0	467.0
Urogenital System	Vagina	714.0	467.0
Urogenital System	Uterus	687.0	467.0
Urogenital System	Testes	678.0	467.0
Urogenital System	Bladder	507.0	467.0
Urogenital System	Urethra	476.0	467.0
Urogenital System	Penis	419.0	467.0
Urogenital System	Ovary	374.0	467.0
Urogenital System	Prostate gland	373.0	467.0
Urogenital System	Kidney	353.0	467.0
Urogenital System	Placenta	280.0	467.0
Immune System	Immune System	643.0	467.0
Exocrine System	Mammary gland	627.0	467.0
Visual System	Eye	607.0	467.0
Musculoskeletal System	Skeletal Muscle	577.0	467.0
Musculoskeletal System	Joint	517.0	467.0
Respiratory System	Lung	573.0	467.0
Olfactory System	Nervous System	408.0	467.0
Integumentary System	Skin	370.0	467.0
