system	organ	exp	control
Cardiovascular System	Heart	4850.0	841.0
Cardiovascular System	Vascular	846.0	841.0
Nervous System	Nervous System	4150.0	841.0
Musculoskeletal System	Skeletal Muscle	3910.0	841.0
Musculoskeletal System	Joint	430.0	841.0
Urogenital System	Testes	2720.0	841.0
Urogenital System	Placenta	1690.0	841.0
Urogenital System	Kidney	1660.0	841.0
Urogenital System	Uterus	1410.0	841.0
Urogenital System	Ovary	1030.0	841.0
Urogenital System	Bladder	922.0	841.0
Urogenital System	Vagina	599.0	841.0
Urogenital System	Prostate gland	526.0	841.0
Urogenital System	Urethra	417.0	841.0
Urogenital System	Penis	385.0	841.0
Digestive System	Colon	2580.0	841.0
Digestive System	Tongue	2490.0	841.0
Digestive System	Pancreas	1410.0	841.0
Digestive System	Liver	1280.0	841.0
Digestive System	Salivary gland	871.0	841.0
Digestive System	Stomach	543.0	841.0
Digestive System	Peritoneum	531.0	841.0
Digestive System	Small intestine	515.0	841.0
Digestive System	Esophagus	439.0	841.0
Endocrine System	Thyroid gland	2570.0	841.0
Endocrine System	Adrenal gland	2020.0	841.0
Endocrine System	Pituitary gland	1220.0	841.0
Endocrine System	Adipose tissue	572.0	841.0
Olfactory System	Nervous System	1820.0	841.0
Immune System	Immune System	1330.0	841.0
Respiratory System	Lung	1230.0	841.0
Visual System	Eye	926.0	841.0
Integumentary System	Skin	816.0	841.0
Exocrine System	Mammary gland	644.0	841.0
