system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	38800.0	94.8
Musculoskeletal System	Joint	121.0	94.8
Immune System	Immune System	1570.0	94.8
Digestive System	Stomach	983.0	94.8
Digestive System	Small intestine	873.0	94.8
Digestive System	Colon	524.0	94.8
Digestive System	Liver	142.0	94.8
Digestive System	Pancreas	107.0	94.8
Digestive System	Tongue	105.0	94.8
Digestive System	Salivary gland	101.0	94.8
Digestive System	Esophagus	89.2	94.8
Digestive System	Peritoneum	88.3	94.8
Urogenital System	Placenta	302.0	94.8
Urogenital System	Bladder	227.0	94.8
Urogenital System	Uterus	156.0	94.8
Urogenital System	Kidney	102.0	94.8
Urogenital System	Ovary	102.0	94.8
Urogenital System	Urethra	94.8	94.8
Urogenital System	Testes	91.2	94.8
Urogenital System	Penis	90.6	94.8
Urogenital System	Prostate gland	89.5	94.8
Urogenital System	Vagina	89.1	94.8
Respiratory System	Lung	217.0	94.8
Visual System	Eye	148.0	94.8
Cardiovascular System	Heart	111.0	94.8
Cardiovascular System	Vascular	108.0	94.8
Nervous System	Nervous System	108.0	94.8
Endocrine System	Thyroid gland	103.0	94.8
Endocrine System	Adipose tissue	96.1	94.8
Endocrine System	Adrenal gland	92.0	94.8
Endocrine System	Pituitary gland	87.3	94.8
Integumentary System	Skin	96.5	94.8
Exocrine System	Mammary gland	95.3	94.8
Olfactory System	Nervous System	88.3	94.8
