system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	7790.0	1120.0
Musculoskeletal System	Joint	1420.0	1120.0
Digestive System	Colon	4430.0	1120.0
Digestive System	Tongue	3300.0	1120.0
Digestive System	Liver	1920.0	1120.0
Digestive System	Stomach	1520.0	1120.0
Digestive System	Pancreas	1420.0	922.0
Digestive System	Small intestine	1240.0	1120.0
Digestive System	Peritoneum	1130.0	893.0
Digestive System	Esophagus	1030.0	1120.0
Digestive System	Salivary gland	916.0	893.0
Nervous System	Nervous System	3770.0	1120.0
Cardiovascular System	Heart	3570.0	1120.0
Cardiovascular System	Vascular	1210.0	1120.0
Urogenital System	Testes	2640.0	1120.0
Urogenital System	Kidney	2320.0	1120.0
Urogenital System	Uterus	2230.0	1120.0
Urogenital System	Prostate gland	1360.0	1120.0
Urogenital System	Placenta	1360.0	922.0
Urogenital System	Ovary	1230.0	1120.0
Urogenital System	Penis	1220.0	1120.0
Urogenital System	Vagina	1110.0	1120.0
Urogenital System	Bladder	1020.0	922.0
Urogenital System	Urethra	916.0	1120.0
Olfactory System	Nervous System	2540.0	922.0
Endocrine System	Thyroid gland	2390.0	922.0
Endocrine System	Adrenal gland	2300.0	1120.0
Endocrine System	Pituitary gland	2240.0	1120.0
Endocrine System	Adipose tissue	1110.0	1120.0
Immune System	Immune System	2310.0	1120.0
Respiratory System	Lung	1640.0	1120.0
Exocrine System	Mammary gland	1360.0	1120.0
Integumentary System	Skin	1090.0	1120.0
Visual System	Eye	727.0	922.0
