system	organ	exp	control
Immune System	Immune System	17500.0	227.0
Exocrine System	Mammary gland	4150.0	227.0
Digestive System	Colon	3050.0	227.0
Digestive System	Small intestine	959.0	227.0
Digestive System	Liver	561.0	227.0
Digestive System	Peritoneum	471.0	227.0
Digestive System	Tongue	266.0	227.0
Digestive System	Pancreas	260.0	227.0
Digestive System	Stomach	254.0	227.0
Digestive System	Esophagus	225.0	227.0
Digestive System	Salivary gland	188.0	227.0
Urogenital System	Uterus	1460.0	227.0
Urogenital System	Urethra	362.0	227.0
Urogenital System	Vagina	354.0	227.0
Urogenital System	Bladder	341.0	227.0
Urogenital System	Prostate gland	308.0	227.0
Urogenital System	Penis	269.0	227.0
Urogenital System	Placenta	203.0	227.0
Urogenital System	Testes	201.0	227.0
Urogenital System	Ovary	196.0	227.0
Urogenital System	Kidney	192.0	227.0
Cardiovascular System	Vascular	436.0	227.0
Cardiovascular System	Heart	239.0	227.0
Integumentary System	Skin	394.0	227.0
Respiratory System	Lung	353.0	227.0
Nervous System	Nervous System	345.0	227.0
Visual System	Eye	344.0	227.0
Musculoskeletal System	Skeletal Muscle	225.0	227.0
Musculoskeletal System	Joint	203.0	227.0
Endocrine System	Thyroid gland	216.0	227.0
Endocrine System	Adipose tissue	196.0	227.0
Endocrine System	Adrenal gland	189.0	227.0
Endocrine System	Pituitary gland	175.0	227.0
Olfactory System	Nervous System	205.0	227.0
