system	organ	exp	control
Immune System	Immune System	11700.0	2280.0
Cardiovascular System	Vascular	10600.0	2280.0
Cardiovascular System	Heart	4700.0	2280.0
Endocrine System	Adipose tissue	7310.0	2280.0
Endocrine System	Adrenal gland	3210.0	2280.0
Endocrine System	Thyroid gland	856.0	2280.0
Endocrine System	Pituitary gland	361.0	2280.0
Exocrine System	Mammary gland	6580.0	2280.0
Urogenital System	Penis	5530.0	2280.0
Urogenital System	Vagina	4190.0	2280.0
Urogenital System	Uterus	3880.0	2280.0
Urogenital System	Ovary	3390.0	2280.0
Urogenital System	Bladder	3160.0	2280.0
Urogenital System	Prostate gland	2820.0	2280.0
Urogenital System	Urethra	1670.0	2280.0
Urogenital System	Placenta	1570.0	2280.0
Urogenital System	Kidney	1080.0	2280.0
Urogenital System	Testes	892.0	2280.0
Respiratory System	Lung	5500.0	2280.0
Integumentary System	Skin	4830.0	2280.0
Digestive System	Salivary gland	4170.0	2280.0
Digestive System	Colon	4000.0	2280.0
Digestive System	Small intestine	3940.0	2280.0
Digestive System	Esophagus	3570.0	2280.0
Digestive System	Liver	3340.0	2280.0
Digestive System	Stomach	3090.0	2280.0
Digestive System	Peritoneum	3070.0	2280.0
Digestive System	Tongue	2870.0	2280.0
Digestive System	Pancreas	2750.0	2280.0
Visual System	Eye	2710.0	2280.0
Musculoskeletal System	Joint	2570.0	2280.0
Musculoskeletal System	Skeletal Muscle	2510.0	2280.0
Nervous System	Nervous System	1510.0	2280.0
Olfactory System	Nervous System	818.0	2280.0
