system	organ	exp	control
Urogenital System	Testes	5160.0	133.0
Urogenital System	Prostate gland	1010.0	133.0
Urogenital System	Uterus	261.0	133.0
Urogenital System	Bladder	188.0	133.0
Urogenital System	Vagina	154.0	133.0
Urogenital System	Penis	151.0	133.0
Urogenital System	Placenta	148.0	133.0
Urogenital System	Ovary	133.0	131.0
Urogenital System	Kidney	130.0	131.0
Urogenital System	Urethra	117.0	131.0
Immune System	Immune System	2180.0	133.0
Digestive System	Small intestine	709.0	133.0
Digestive System	Colon	664.0	133.0
Digestive System	Liver	333.0	133.0
Digestive System	Tongue	219.0	133.0
Digestive System	Stomach	155.0	133.0
Digestive System	Esophagus	148.0	133.0
Digestive System	Pancreas	144.0	133.0
Digestive System	Salivary gland	142.0	131.0
Digestive System	Peritoneum	123.0	131.0
Nervous System	Nervous System	221.0	133.0
Respiratory System	Lung	195.0	133.0
Exocrine System	Mammary gland	181.0	133.0
Integumentary System	Skin	171.0	133.0
Musculoskeletal System	Skeletal Muscle	163.0	133.0
Musculoskeletal System	Joint	131.0	131.0
Cardiovascular System	Vascular	163.0	133.0
Cardiovascular System	Heart	152.0	131.0
Endocrine System	Thyroid gland	140.0	133.0
Endocrine System	Adipose tissue	136.0	131.0
Endocrine System	Adrenal gland	130.0	131.0
Endocrine System	Pituitary gland	127.0	131.0
Olfactory System	Nervous System	127.0	133.0
Visual System	Eye	123.0	133.0
