system	organ	exp	control
Immune System	Immune System	3980.0	1360.0
Visual System	Eye	2270.0	1360.0
Urogenital System	Vagina	2110.0	1360.0
Urogenital System	Uterus	1840.0	1360.0
Urogenital System	Bladder	1780.0	1360.0
Urogenital System	Ovary	1510.0	1360.0
Urogenital System	Placenta	1440.0	1360.0
Urogenital System	Penis	1440.0	1360.0
Urogenital System	Urethra	1330.0	1360.0
Urogenital System	Testes	1300.0	1360.0
Urogenital System	Kidney	1220.0	1360.0
Urogenital System	Prostate gland	1050.0	1360.0
Nervous System	Nervous System	1910.0	1360.0
Musculoskeletal System	Skeletal Muscle	1900.0	1360.0
Musculoskeletal System	Joint	1220.0	1360.0
Digestive System	Colon	1890.0	1360.0
Digestive System	Peritoneum	1870.0	1360.0
Digestive System	Pancreas	1840.0	1360.0
Digestive System	Stomach	1590.0	1360.0
Digestive System	Salivary gland	1540.0	1360.0
Digestive System	Small intestine	1480.0	1360.0
Digestive System	Tongue	1430.0	1360.0
Digestive System	Esophagus	1400.0	1360.0
Digestive System	Liver	1210.0	1360.0
Integumentary System	Skin	1770.0	1360.0
Cardiovascular System	Heart	1660.0	1360.0
Cardiovascular System	Vascular	1440.0	1360.0
Respiratory System	Lung	1620.0	1360.0
Exocrine System	Mammary gland	1590.0	1360.0
Endocrine System	Thyroid gland	1390.0	1360.0
Endocrine System	Adipose tissue	1360.0	1360.0
Endocrine System	Adrenal gland	1170.0	1360.0
Endocrine System	Pituitary gland	797.0	1360.0
Olfactory System	Nervous System	1210.0	1360.0
