system	organ	exp	control
Digestive System	Tongue	3490.0	729.0
Digestive System	Small intestine	2390.0	729.0
Digestive System	Colon	2180.0	729.0
Digestive System	Liver	1160.0	696.0
Digestive System	Pancreas	1070.0	729.0
Digestive System	Stomach	1040.0	696.0
Digestive System	Esophagus	898.0	436.0
Digestive System	Salivary gland	811.0	696.0
Digestive System	Peritoneum	625.0	729.0
Nervous System	Nervous System	3160.0	729.0
Musculoskeletal System	Skeletal Muscle	2710.0	729.0
Musculoskeletal System	Joint	487.0	729.0
Cardiovascular System	Heart	2340.0	696.0
Cardiovascular System	Vascular	847.0	729.0
Urogenital System	Testes	1860.0	729.0
Urogenital System	Bladder	1320.0	696.0
Urogenital System	Uterus	1270.0	729.0
Urogenital System	Kidney	1200.0	729.0
Urogenital System	Placenta	823.0	729.0
Urogenital System	Vagina	808.0	696.0
Urogenital System	Ovary	690.0	696.0
Urogenital System	Penis	530.0	436.0
Urogenital System	Prostate gland	529.0	436.0
Urogenital System	Urethra	396.0	696.0
Olfactory System	Nervous System	1620.0	729.0
Endocrine System	Thyroid gland	1550.0	729.0
Endocrine System	Adrenal gland	1320.0	729.0
Endocrine System	Pituitary gland	793.0	696.0
Endocrine System	Adipose tissue	588.0	729.0
Immune System	Immune System	1400.0	729.0
Respiratory System	Lung	1080.0	729.0
Exocrine System	Mammary gland	842.0	729.0
Integumentary System	Skin	716.0	436.0
Visual System	Eye	522.0	729.0
