system	organ	exp	control
Immune System	Immune System	2920.0	176.0
Cardiovascular System	Vascular	2270.0	176.0
Cardiovascular System	Heart	187.0	176.0
Exocrine System	Mammary gland	2080.0	176.0
Endocrine System	Adipose tissue	1560.0	176.0
Endocrine System	Adrenal gland	1330.0	176.0
Endocrine System	Thyroid gland	262.0	176.0
Endocrine System	Pituitary gland	156.0	176.0
Nervous System	Nervous System	1460.0	176.0
Urogenital System	Kidney	1070.0	176.0
Urogenital System	Uterus	535.0	176.0
Urogenital System	Vagina	210.0	176.0
Urogenital System	Ovary	176.0	176.0
Urogenital System	Penis	170.0	176.0
Urogenital System	Prostate gland	167.0	176.0
Urogenital System	Bladder	162.0	176.0
Urogenital System	Urethra	148.0	176.0
Urogenital System	Testes	127.0	176.0
Urogenital System	Placenta	125.0	176.0
Integumentary System	Skin	913.0	176.0
Musculoskeletal System	Joint	690.0	176.0
Musculoskeletal System	Skeletal Muscle	170.0	176.0
Digestive System	Colon	463.0	176.0
Digestive System	Peritoneum	412.0	176.0
Digestive System	Salivary gland	307.0	176.0
Digestive System	Small intestine	284.0	176.0
Digestive System	Liver	271.0	176.0
Digestive System	Pancreas	200.0	176.0
Digestive System	Tongue	179.0	176.0
Digestive System	Stomach	161.0	176.0
Digestive System	Esophagus	110.0	176.0
Respiratory System	Lung	227.0	176.0
Olfactory System	Nervous System	135.0	176.0
Visual System	Eye	101.0	176.0
