system	organ	exp	control
Digestive System	Liver	4040.0	1020.0
Digestive System	Pancreas	2930.0	1020.0
Digestive System	Small intestine	2120.0	1020.0
Digestive System	Colon	2070.0	1020.0
Digestive System	Tongue	2000.0	1020.0
Digestive System	Stomach	1960.0	1020.0
Digestive System	Salivary gland	1090.0	1020.0
Digestive System	Peritoneum	751.0	1020.0
Digestive System	Esophagus	638.0	1020.0
Cardiovascular System	Heart	3180.0	1020.0
Cardiovascular System	Vascular	1470.0	1020.0
Nervous System	Nervous System	3040.0	1020.0
Musculoskeletal System	Skeletal Muscle	2300.0	1020.0
Musculoskeletal System	Joint	668.0	1020.0
Endocrine System	Adrenal gland	2230.0	1020.0
Endocrine System	Thyroid gland	1620.0	1020.0
Endocrine System	Pituitary gland	1060.0	1020.0
Endocrine System	Adipose tissue	861.0	1020.0
Urogenital System	Testes	1740.0	1020.0
Urogenital System	Kidney	1570.0	1020.0
Urogenital System	Uterus	1250.0	1020.0
Urogenital System	Vagina	1110.0	1020.0
Urogenital System	Placenta	1040.0	1020.0
Urogenital System	Ovary	1020.0	1020.0
Urogenital System	Bladder	981.0	1020.0
Urogenital System	Prostate gland	658.0	1020.0
Urogenital System	Penis	584.0	1020.0
Urogenital System	Urethra	529.0	1020.0
Respiratory System	Lung	1720.0	1020.0
Olfactory System	Nervous System	1690.0	1020.0
Immune System	Immune System	1640.0	1020.0
Integumentary System	Skin	862.0	1020.0
Exocrine System	Mammary gland	776.0	1020.0
Visual System	Eye	583.0	1020.0
