system	organ	exp	control
Nervous System	Nervous System	36900.0	5860.0
Musculoskeletal System	Skeletal Muscle	20100.0	5860.0
Musculoskeletal System	Joint	3230.0	5860.0
Digestive System	Colon	19300.0	5860.0
Digestive System	Tongue	13300.0	5860.0
Digestive System	Stomach	12200.0	5860.0
Digestive System	Liver	10600.0	5860.0
Digestive System	Pancreas	9800.0	5860.0
Digestive System	Salivary gland	8030.0	5860.0
Digestive System	Small intestine	7060.0	5860.0
Digestive System	Esophagus	4480.0	5860.0
Digestive System	Peritoneum	1830.0	5860.0
Cardiovascular System	Heart	17700.0	5860.0
Cardiovascular System	Vascular	5690.0	5860.0
Urogenital System	Testes	14100.0	5860.0
Urogenital System	Uterus	12600.0	5860.0
Urogenital System	Kidney	10700.0	5860.0
Urogenital System	Bladder	10200.0	5860.0
Urogenital System	Placenta	6250.0	5860.0
Urogenital System	Ovary	6180.0	5860.0
Urogenital System	Vagina	5820.0	5860.0
Urogenital System	Urethra	4150.0	5860.0
Urogenital System	Prostate gland	3680.0	5860.0
Urogenital System	Penis	3570.0	5860.0
Endocrine System	Adrenal gland	13500.0	5860.0
Endocrine System	Thyroid gland	11200.0	5860.0
Endocrine System	Pituitary gland	8000.0	5860.0
Endocrine System	Adipose tissue	4460.0	5860.0
Olfactory System	Nervous System	10800.0	5860.0
Respiratory System	Lung	10200.0	5860.0
Exocrine System	Mammary gland	9840.0	5860.0
Immune System	Immune System	7920.0	5860.0
Integumentary System	Skin	7670.0	5860.0
Visual System	Eye	4360.0	5860.0
