system	organ	exp	control
Immune System	Immune System	2040.0	1020.0
Cardiovascular System	Vascular	1810.0	1020.0
Cardiovascular System	Heart	1550.0	1020.0
Nervous System	Nervous System	1720.0	1020.0
Musculoskeletal System	Skeletal Muscle	1680.0	1020.0
Musculoskeletal System	Joint	1170.0	1020.0
Exocrine System	Mammary gland	1680.0	1020.0
Digestive System	Colon	1670.0	1020.0
Digestive System	Tongue	1590.0	1020.0
Digestive System	Esophagus	1270.0	1020.0
Digestive System	Small intestine	1250.0	1020.0
Digestive System	Stomach	1230.0	1020.0
Digestive System	Salivary gland	1080.0	1020.0
Digestive System	Liver	1050.0	1020.0
Digestive System	Pancreas	715.0	1020.0
Digestive System	Peritoneum	409.0	1020.0
Endocrine System	Adipose tissue	1420.0	1020.0
Endocrine System	Adrenal gland	1250.0	1020.0
Endocrine System	Thyroid gland	1110.0	1020.0
Endocrine System	Pituitary gland	833.0	1020.0
Urogenital System	Urethra	1360.0	1020.0
Urogenital System	Kidney	1270.0	1020.0
Urogenital System	Uterus	1190.0	1020.0
Urogenital System	Vagina	1020.0	1020.0
Urogenital System	Prostate gland	990.0	1020.0
Urogenital System	Testes	972.0	1020.0
Urogenital System	Penis	956.0	1020.0
Urogenital System	Bladder	935.0	1020.0
Urogenital System	Ovary	788.0	1020.0
Urogenital System	Placenta	748.0	1020.0
Respiratory System	Lung	1340.0	1020.0
Visual System	Eye	1020.0	1020.0
Integumentary System	Skin	815.0	1020.0
Olfactory System	Nervous System	568.0	1020.0
