system	organ	exp	control
Digestive System	Liver	1530.0	245.0
Digestive System	Small intestine	396.0	245.0
Digestive System	Colon	358.0	245.0
Digestive System	Pancreas	333.0	245.0
Digestive System	Stomach	270.0	245.0
Digestive System	Tongue	255.0	245.0
Digestive System	Salivary gland	229.0	245.0
Digestive System	Peritoneum	207.0	245.0
Digestive System	Esophagus	189.0	245.0
Immune System	Immune System	408.0	245.0
Urogenital System	Kidney	401.0	245.0
Urogenital System	Testes	321.0	245.0
Urogenital System	Uterus	311.0	245.0
Urogenital System	Placenta	308.0	245.0
Urogenital System	Bladder	262.0	245.0
Urogenital System	Ovary	248.0	245.0
Urogenital System	Vagina	239.0	245.0
Urogenital System	Prostate gland	223.0	245.0
Urogenital System	Penis	209.0	245.0
Urogenital System	Urethra	197.0	245.0
Respiratory System	Lung	395.0	245.0
Endocrine System	Adrenal gland	381.0	245.0
Endocrine System	Pituitary gland	260.0	245.0
Endocrine System	Thyroid gland	243.0	245.0
Endocrine System	Adipose tissue	230.0	245.0
Musculoskeletal System	Skeletal Muscle	373.0	245.0
Musculoskeletal System	Joint	257.0	245.0
Cardiovascular System	Vascular	362.0	245.0
Cardiovascular System	Heart	305.0	245.0
Nervous System	Nervous System	332.0	245.0
Visual System	Eye	317.0	245.0
Olfactory System	Nervous System	288.0	245.0
Integumentary System	Skin	279.0	245.0
Exocrine System	Mammary gland	255.0	245.0
