system	organ	exp	control
Endocrine System	Adrenal gland	6510.0	947.0
Endocrine System	Adipose tissue	4370.0	947.0
Endocrine System	Thyroid gland	1830.0	947.0
Endocrine System	Pituitary gland	1660.0	947.0
Musculoskeletal System	Skeletal Muscle	5260.0	947.0
Musculoskeletal System	Joint	781.0	947.0
Immune System	Immune System	4590.0	947.0
Cardiovascular System	Heart	3440.0	947.0
Cardiovascular System	Vascular	2570.0	947.0
Nervous System	Nervous System	2420.0	947.0
Urogenital System	Bladder	2310.0	947.0
Urogenital System	Prostate gland	1870.0	947.0
Urogenital System	Uterus	1290.0	947.0
Urogenital System	Kidney	1120.0	947.0
Urogenital System	Vagina	1100.0	947.0
Urogenital System	Testes	1040.0	947.0
Urogenital System	Ovary	860.0	947.0
Urogenital System	Placenta	832.0	947.0
Urogenital System	Urethra	784.0	947.0
Urogenital System	Penis	464.0	947.0
Digestive System	Colon	2280.0	947.0
Digestive System	Small intestine	2050.0	947.0
Digestive System	Stomach	1490.0	947.0
Digestive System	Tongue	1390.0	947.0
Digestive System	Salivary gland	1320.0	947.0
Digestive System	Pancreas	1160.0	947.0
Digestive System	Liver	1020.0	947.0
Digestive System	Peritoneum	830.0	947.0
Digestive System	Esophagus	588.0	947.0
Respiratory System	Lung	2130.0	947.0
Olfactory System	Nervous System	1120.0	947.0
Visual System	Eye	839.0	947.0
Integumentary System	Skin	670.0	947.0
Exocrine System	Mammary gland	631.0	947.0
