system	organ	exp	control
Immune System	Immune System	2010.0	460.0
Digestive System	Colon	983.0	460.0
Digestive System	Liver	538.0	460.0
Digestive System	Tongue	534.0	460.0
Digestive System	Small intestine	523.0	460.0
Digestive System	Peritoneum	504.0	460.0
Digestive System	Salivary gland	494.0	460.0
Digestive System	Stomach	472.0	460.0
Digestive System	Pancreas	410.0	460.0
Digestive System	Esophagus	397.0	460.0
Nervous System	Nervous System	956.0	460.0
Cardiovascular System	Heart	748.0	460.0
Cardiovascular System	Vascular	515.0	460.0
Urogenital System	Ovary	631.0	460.0
Urogenital System	Uterus	606.0	460.0
Urogenital System	Urethra	557.0	460.0
Urogenital System	Kidney	544.0	460.0
Urogenital System	Placenta	500.0	460.0
Urogenital System	Bladder	458.0	460.0
Urogenital System	Testes	456.0	460.0
Urogenital System	Prostate gland	435.0	460.0
Urogenital System	Penis	403.0	460.0
Urogenital System	Vagina	389.0	460.0
Musculoskeletal System	Joint	610.0	460.0
Musculoskeletal System	Skeletal Muscle	542.0	460.0
Integumentary System	Skin	592.0	460.0
Endocrine System	Thyroid gland	559.0	460.0
Endocrine System	Adrenal gland	494.0	460.0
Endocrine System	Pituitary gland	480.0	460.0
Endocrine System	Adipose tissue	444.0	460.0
Exocrine System	Mammary gland	537.0	460.0
Olfactory System	Nervous System	529.0	460.0
Visual System	Eye	489.0	460.0
Respiratory System	Lung	464.0	460.0
