system	organ	exp	control
Nervous System	Nervous System	936.0	138.0
Immune System	Immune System	291.0	138.0
Digestive System	Colon	276.0	138.0
Digestive System	Salivary gland	255.0	138.0
Digestive System	Tongue	213.0	138.0
Digestive System	Pancreas	169.0	138.0
Digestive System	Liver	163.0	138.0
Digestive System	Small intestine	138.0	138.0
Digestive System	Stomach	132.0	138.0
Digestive System	Esophagus	114.0	138.0
Digestive System	Peritoneum	111.0	138.0
Musculoskeletal System	Skeletal Muscle	221.0	138.0
Musculoskeletal System	Joint	118.0	138.0
Urogenital System	Kidney	185.0	138.0
Urogenital System	Testes	168.0	138.0
Urogenital System	Uterus	145.0	138.0
Urogenital System	Placenta	141.0	138.0
Urogenital System	Bladder	137.0	138.0
Urogenital System	Ovary	132.0	138.0
Urogenital System	Vagina	128.0	138.0
Urogenital System	Prostate gland	121.0	138.0
Urogenital System	Penis	112.0	138.0
Urogenital System	Urethra	111.0	138.0
Cardiovascular System	Vascular	184.0	138.0
Cardiovascular System	Heart	176.0	138.0
Endocrine System	Adrenal gland	183.0	138.0
Endocrine System	Thyroid gland	153.0	138.0
Endocrine System	Adipose tissue	150.0	138.0
Endocrine System	Pituitary gland	129.0	138.0
Olfactory System	Nervous System	176.0	138.0
Respiratory System	Lung	158.0	138.0
Visual System	Eye	145.0	138.0
Exocrine System	Mammary gland	141.0	138.0
Integumentary System	Skin	132.0	138.0
