system	organ	exp	control
Nervous System	Nervous System	694.0	234.0
Digestive System	Colon	485.0	234.0
Digestive System	Pancreas	290.0	234.0
Digestive System	Tongue	286.0	234.0
Digestive System	Liver	276.0	234.0
Digestive System	Salivary gland	240.0	234.0
Digestive System	Small intestine	227.0	234.0
Digestive System	Stomach	219.0	234.0
Digestive System	Peritoneum	200.0	234.0
Digestive System	Esophagus	198.0	234.0
Immune System	Immune System	417.0	234.0
Urogenital System	Placenta	397.0	87.0
Urogenital System	Testes	322.0	234.0
Urogenital System	Prostate gland	304.0	87.0
Urogenital System	Kidney	284.0	234.0
Urogenital System	Uterus	268.0	234.0
Urogenital System	Vagina	256.0	234.0
Urogenital System	Ovary	233.0	234.0
Urogenital System	Penis	199.0	234.0
Urogenital System	Bladder	197.0	234.0
Urogenital System	Urethra	184.0	234.0
Musculoskeletal System	Skeletal Muscle	343.0	234.0
Musculoskeletal System	Joint	206.0	234.0
Cardiovascular System	Heart	319.0	234.0
Cardiovascular System	Vascular	233.0	234.0
Visual System	Eye	315.0	234.0
Olfactory System	Nervous System	277.0	234.0
Endocrine System	Adrenal gland	268.0	234.0
Endocrine System	Thyroid gland	263.0	234.0
Endocrine System	Pituitary gland	239.0	234.0
Endocrine System	Adipose tissue	223.0	234.0
Respiratory System	Lung	266.0	234.0
Exocrine System	Mammary gland	231.0	234.0
Integumentary System	Skin	204.0	234.0
