system	organ	exp	control
Immune System	Immune System	1170.0	428.0
Nervous System	Nervous System	1050.0	428.0
Cardiovascular System	Heart	956.0	428.0
Cardiovascular System	Vascular	548.0	428.0
Musculoskeletal System	Skeletal Muscle	880.0	428.0
Musculoskeletal System	Joint	343.0	428.0
Olfactory System	Nervous System	820.0	428.0
Urogenital System	Testes	818.0	428.0
Urogenital System	Uterus	755.0	428.0
Urogenital System	Bladder	613.0	428.0
Urogenital System	Placenta	583.0	428.0
Urogenital System	Kidney	553.0	428.0
Urogenital System	Ovary	434.0	428.0
Urogenital System	Vagina	342.0	428.0
Urogenital System	Prostate gland	310.0	428.0
Urogenital System	Penis	302.0	428.0
Urogenital System	Urethra	274.0	428.0
Endocrine System	Thyroid gland	748.0	428.0
Endocrine System	Adrenal gland	666.0	428.0
Endocrine System	Pituitary gland	425.0	428.0
Endocrine System	Adipose tissue	348.0	428.0
Digestive System	Tongue	732.0	428.0
Digestive System	Colon	714.0	428.0
Digestive System	Pancreas	690.0	428.0
Digestive System	Liver	683.0	428.0
Digestive System	Salivary gland	432.0	428.0
Digestive System	Small intestine	374.0	428.0
Digestive System	Stomach	357.0	428.0
Digestive System	Peritoneum	345.0	428.0
Digestive System	Esophagus	282.0	283.0
Respiratory System	Lung	669.0	428.0
Visual System	Eye	562.0	428.0
Exocrine System	Mammary gland	350.0	428.0
Integumentary System	Skin	335.0	428.0
