system	organ	exp	control
Digestive System	Colon	2470.0	328.0
Digestive System	Tongue	708.0	328.0
Digestive System	Liver	578.0	328.0
Digestive System	Stomach	483.0	328.0
Digestive System	Pancreas	469.0	328.0
Digestive System	Salivary gland	402.0	328.0
Digestive System	Small intestine	373.0	328.0
Digestive System	Esophagus	190.0	328.0
Digestive System	Peritoneum	166.0	328.0
Nervous System	Nervous System	2110.0	328.0
Musculoskeletal System	Skeletal Muscle	1670.0	328.0
Musculoskeletal System	Joint	234.0	328.0
Cardiovascular System	Heart	1030.0	328.0
Cardiovascular System	Vascular	335.0	328.0
Urogenital System	Uterus	816.0	328.0
Urogenital System	Testes	784.0	328.0
Urogenital System	Kidney	619.0	328.0
Urogenital System	Placenta	441.0	328.0
Urogenital System	Bladder	381.0	328.0
Urogenital System	Ovary	333.0	328.0
Urogenital System	Vagina	237.0	328.0
Urogenital System	Prostate gland	212.0	328.0
Urogenital System	Penis	186.0	328.0
Urogenital System	Urethra	184.0	328.0
Endocrine System	Adrenal gland	757.0	328.0
Endocrine System	Thyroid gland	732.0	328.0
Endocrine System	Pituitary gland	315.0	328.0
Endocrine System	Adipose tissue	270.0	328.0
Immune System	Immune System	649.0	328.0
Olfactory System	Nervous System	557.0	328.0
Respiratory System	Lung	543.0	328.0
Visual System	Eye	375.0	328.0
Integumentary System	Skin	319.0	328.0
Exocrine System	Mammary gland	284.0	328.0
