system	organ	exp	control
Exocrine System	Mammary gland	4230.0	215.0
Nervous System	Nervous System	2630.0	215.0
Digestive System	Colon	639.0	215.0
Digestive System	Peritoneum	400.0	215.0
Digestive System	Tongue	342.0	215.0
Digestive System	Liver	223.0	215.0
Digestive System	Salivary gland	209.0	215.0
Digestive System	Pancreas	206.0	215.0
Digestive System	Small intestine	174.0	215.0
Digestive System	Stomach	165.0	215.0
Digestive System	Esophagus	151.0	215.0
Cardiovascular System	Heart	521.0	215.0
Cardiovascular System	Vascular	408.0	215.0
Immune System	Immune System	471.0	215.0
Musculoskeletal System	Skeletal Muscle	435.0	215.0
Musculoskeletal System	Joint	177.0	215.0
Urogenital System	Uterus	428.0	215.0
Urogenital System	Testes	310.0	215.0
Urogenital System	Kidney	249.0	215.0
Urogenital System	Ovary	242.0	215.0
Urogenital System	Placenta	214.0	215.0
Urogenital System	Bladder	210.0	215.0
Urogenital System	Prostate gland	208.0	215.0
Urogenital System	Penis	186.0	215.0
Urogenital System	Urethra	160.0	215.0
Urogenital System	Vagina	158.0	215.0
Respiratory System	Lung	314.0	215.0
Olfactory System	Nervous System	295.0	215.0
Endocrine System	Adrenal gland	259.0	215.0
Endocrine System	Thyroid gland	239.0	215.0
Endocrine System	Pituitary gland	184.0	215.0
Endocrine System	Adipose tissue	172.0	215.0
Visual System	Eye	225.0	215.0
Integumentary System	Skin	188.0	215.0
