system	organ	exp	control
Immune System	Immune System	403.0	138.0
Digestive System	Colon	360.0	138.0
Digestive System	Small intestine	202.0	138.0
Digestive System	Tongue	180.0	138.0
Digestive System	Esophagus	164.0	138.0
Digestive System	Peritoneum	142.0	138.0
Digestive System	Pancreas	138.0	138.0
Digestive System	Stomach	134.0	138.0
Digestive System	Salivary gland	130.0	138.0
Digestive System	Liver	130.0	138.0
Respiratory System	Lung	340.0	138.0
Urogenital System	Prostate gland	278.0	138.0
Urogenital System	Uterus	178.0	138.0
Urogenital System	Ovary	160.0	138.0
Urogenital System	Vagina	157.0	138.0
Urogenital System	Placenta	155.0	138.0
Urogenital System	Penis	144.0	138.0
Urogenital System	Bladder	142.0	138.0
Urogenital System	Urethra	132.0	138.0
Urogenital System	Kidney	131.0	138.0
Urogenital System	Testes	119.0	138.0
Nervous System	Nervous System	237.0	138.0
Exocrine System	Mammary gland	174.0	138.0
Visual System	Eye	156.0	138.0
Musculoskeletal System	Skeletal Muscle	155.0	138.0
Musculoskeletal System	Joint	121.0	138.0
Cardiovascular System	Heart	150.0	138.0
Cardiovascular System	Vascular	123.0	138.0
Integumentary System	Skin	149.0	138.0
Endocrine System	Thyroid gland	139.0	138.0
Endocrine System	Adrenal gland	139.0	138.0
Endocrine System	Adipose tissue	133.0	138.0
Endocrine System	Pituitary gland	124.0	138.0
Olfactory System	Nervous System	124.0	138.0
