system	organ	exp	control
Nervous System	Nervous System	54800.0	17800.0
Cardiovascular System	Heart	43400.0	17800.0
Cardiovascular System	Vascular	20100.0	17800.0
Immune System	Immune System	40600.0	17800.0
Urogenital System	Kidney	36000.0	17800.0
Urogenital System	Testes	23000.0	17800.0
Urogenital System	Uterus	22900.0	17800.0
Urogenital System	Prostate gland	18000.0	17800.0
Urogenital System	Ovary	17600.0	17800.0
Urogenital System	Vagina	17000.0	17800.0
Urogenital System	Urethra	14900.0	17800.0
Urogenital System	Penis	13400.0	17800.0
Urogenital System	Placenta	9570.0	17800.0
Urogenital System	Bladder	6590.0	17800.0
Digestive System	Colon	29800.0	17800.0
Digestive System	Stomach	28700.0	17800.0
Digestive System	Peritoneum	21700.0	17800.0
Digestive System	Tongue	21600.0	17800.0
Digestive System	Liver	21200.0	17800.0
Digestive System	Salivary gland	17800.0	17800.0
Digestive System	Small intestine	17500.0	17800.0
Digestive System	Esophagus	15300.0	17800.0
Digestive System	Pancreas	10700.0	17800.0
Endocrine System	Adrenal gland	29000.0	17800.0
Endocrine System	Pituitary gland	25700.0	17800.0
Endocrine System	Thyroid gland	23500.0	17800.0
Endocrine System	Adipose tissue	16300.0	17800.0
Exocrine System	Mammary gland	24500.0	17800.0
Respiratory System	Lung	21200.0	17800.0
Musculoskeletal System	Joint	16800.0	17800.0
Musculoskeletal System	Skeletal Muscle	14000.0	17800.0
Olfactory System	Nervous System	15000.0	17800.0
Integumentary System	Skin	13400.0	17800.0
Visual System	Eye	6740.0	17800.0
