system	organ	exp	control
Cardiovascular System	Vascular	5930.0	1140.0
Cardiovascular System	Heart	1850.0	1140.0
Urogenital System	Urethra	4880.0	614.0
Urogenital System	Uterus	2890.0	1140.0
Urogenital System	Vagina	2870.0	1140.0
Urogenital System	Prostate gland	2410.0	614.0
Urogenital System	Penis	1880.0	614.0
Urogenital System	Bladder	1760.0	614.0
Urogenital System	Placenta	1390.0	1140.0
Urogenital System	Kidney	1290.0	1140.0
Urogenital System	Testes	997.0	1140.0
Urogenital System	Ovary	956.0	1140.0
Digestive System	Colon	2990.0	1140.0
Digestive System	Esophagus	2540.0	614.0
Digestive System	Stomach	2340.0	1140.0
Digestive System	Small intestine	2080.0	1140.0
Digestive System	Pancreas	1930.0	1140.0
Digestive System	Tongue	1270.0	1140.0
Digestive System	Salivary gland	1180.0	1140.0
Digestive System	Liver	1180.0	1140.0
Digestive System	Peritoneum	1150.0	1140.0
Musculoskeletal System	Joint	1940.0	614.0
Musculoskeletal System	Skeletal Muscle	1730.0	1140.0
Nervous System	Nervous System	1550.0	1140.0
Immune System	Immune System	1520.0	1140.0
Endocrine System	Adipose tissue	1380.0	1140.0
Endocrine System	Adrenal gland	1140.0	1140.0
Endocrine System	Pituitary gland	1100.0	1140.0
Endocrine System	Thyroid gland	1030.0	1140.0
Respiratory System	Lung	1370.0	1140.0
Exocrine System	Mammary gland	1140.0	1140.0
Integumentary System	Skin	863.0	1140.0
Olfactory System	Nervous System	104.0	111.0
Visual System	Eye	94.3	111.0
