system	organ	exp	control
Immune System	Immune System	1830.0	357.0
Endocrine System	Adipose tissue	883.0	357.0
Endocrine System	Adrenal gland	455.0	357.0
Endocrine System	Thyroid gland	297.0	357.0
Endocrine System	Pituitary gland	266.0	357.0
Cardiovascular System	Heart	851.0	357.0
Cardiovascular System	Vascular	478.0	357.0
Musculoskeletal System	Joint	747.0	357.0
Musculoskeletal System	Skeletal Muscle	355.0	357.0
Urogenital System	Urethra	708.0	357.0
Urogenital System	Uterus	637.0	357.0
Urogenital System	Vagina	589.0	357.0
Urogenital System	Penis	562.0	357.0
Urogenital System	Bladder	558.0	357.0
Urogenital System	Ovary	508.0	357.0
Urogenital System	Prostate gland	476.0	357.0
Urogenital System	Kidney	407.0	357.0
Urogenital System	Testes	312.0	357.0
Urogenital System	Placenta	280.0	357.0
Digestive System	Small intestine	692.0	357.0
Digestive System	Colon	563.0	357.0
Digestive System	Esophagus	529.0	357.0
Digestive System	Stomach	509.0	357.0
Digestive System	Peritoneum	343.0	357.0
Digestive System	Tongue	330.0	357.0
Digestive System	Salivary gland	317.0	357.0
Digestive System	Liver	312.0	357.0
Digestive System	Pancreas	199.0	357.0
Nervous System	Nervous System	631.0	357.0
Integumentary System	Skin	539.0	357.0
Exocrine System	Mammary gland	453.0	357.0
Respiratory System	Lung	295.0	357.0
Visual System	Eye	276.0	357.0
Olfactory System	Nervous System	185.0	357.0
