system	organ	exp	control
Digestive System	Colon	7200.0	1040.0
Digestive System	Small intestine	2450.0	1040.0
Digestive System	Esophagus	1790.0	1040.0
Digestive System	Stomach	1420.0	1040.0
Digestive System	Salivary gland	1310.0	1040.0
Digestive System	Tongue	1310.0	1040.0
Digestive System	Liver	1050.0	1040.0
Digestive System	Pancreas	709.0	1040.0
Digestive System	Peritoneum	452.0	1040.0
Immune System	Immune System	2550.0	1040.0
Urogenital System	Penis	2450.0	1040.0
Urogenital System	Vagina	1900.0	1040.0
Urogenital System	Placenta	1550.0	1040.0
Urogenital System	Bladder	1240.0	1040.0
Urogenital System	Kidney	1150.0	1040.0
Urogenital System	Urethra	1140.0	1040.0
Urogenital System	Uterus	1100.0	1040.0
Urogenital System	Prostate gland	1040.0	1040.0
Urogenital System	Ovary	991.0	1040.0
Urogenital System	Testes	941.0	1040.0
Endocrine System	Thyroid gland	1900.0	1040.0
Endocrine System	Adipose tissue	1110.0	1040.0
Endocrine System	Adrenal gland	1080.0	1040.0
Endocrine System	Pituitary gland	925.0	1040.0
Nervous System	Nervous System	1760.0	1040.0
Integumentary System	Skin	1600.0	1040.0
Respiratory System	Lung	1430.0	1040.0
Cardiovascular System	Vascular	1270.0	1040.0
Cardiovascular System	Heart	1060.0	1040.0
Exocrine System	Mammary gland	1200.0	1040.0
Musculoskeletal System	Joint	1130.0	1040.0
Musculoskeletal System	Skeletal Muscle	953.0	1040.0
Visual System	Eye	945.0	1040.0
Olfactory System	Nervous System	628.0	1040.0
