system	organ	exp	control
Nervous System	Nervous System	8170.0	2480.0
Immune System	Immune System	7550.0	2480.0
Digestive System	Small intestine	5230.0	2480.0
Digestive System	Colon	5020.0	2480.0
Digestive System	Esophagus	3820.0	2480.0
Digestive System	Tongue	3390.0	2480.0
Digestive System	Salivary gland	3290.0	2480.0
Digestive System	Stomach	2750.0	2480.0
Digestive System	Peritoneum	2580.0	2480.0
Digestive System	Liver	2190.0	2480.0
Digestive System	Pancreas	1680.0	2480.0
Urogenital System	Penis	4550.0	2480.0
Urogenital System	Vagina	3790.0	2480.0
Urogenital System	Placenta	3490.0	2480.0
Urogenital System	Uterus	3350.0	2480.0
Urogenital System	Kidney	2840.0	2480.0
Urogenital System	Prostate gland	2780.0	2480.0
Urogenital System	Testes	2310.0	2480.0
Urogenital System	Urethra	2260.0	2480.0
Urogenital System	Bladder	1990.0	2480.0
Urogenital System	Ovary	1860.0	2480.0
Musculoskeletal System	Skeletal Muscle	4400.0	2480.0
Musculoskeletal System	Joint	2720.0	2480.0
Cardiovascular System	Heart	3950.0	2480.0
Cardiovascular System	Vascular	3430.0	2480.0
Respiratory System	Lung	3750.0	2480.0
Integumentary System	Skin	3610.0	2480.0
Exocrine System	Mammary gland	2820.0	2480.0
Visual System	Eye	2800.0	2480.0
Endocrine System	Adrenal gland	2770.0	2480.0
Endocrine System	Adipose tissue	2640.0	2480.0
Endocrine System	Thyroid gland	2470.0	2480.0
Endocrine System	Pituitary gland	2090.0	2480.0
Olfactory System	Nervous System	925.0	2480.0
