system	organ	exp	control
Immune System	Immune System	1570.0	504.0
Urogenital System	Testes	1520.0	173.0
Urogenital System	Prostate gland	1070.0	504.0
Urogenital System	Penis	920.0	504.0
Urogenital System	Urethra	842.0	504.0
Urogenital System	Uterus	833.0	504.0
Urogenital System	Kidney	693.0	504.0
Urogenital System	Vagina	590.0	504.0
Urogenital System	Bladder	575.0	504.0
Urogenital System	Placenta	467.0	504.0
Urogenital System	Ovary	425.0	504.0
Musculoskeletal System	Joint	1490.0	504.0
Musculoskeletal System	Skeletal Muscle	429.0	439.0
Cardiovascular System	Vascular	1180.0	504.0
Cardiovascular System	Heart	639.0	504.0
Digestive System	Colon	1090.0	504.0
Digestive System	Small intestine	988.0	504.0
Digestive System	Liver	761.0	504.0
Digestive System	Peritoneum	682.0	504.0
Digestive System	Salivary gland	639.0	504.0
Digestive System	Stomach	618.0	504.0
Digestive System	Tongue	542.0	504.0
Digestive System	Pancreas	415.0	439.0
Digestive System	Esophagus	351.0	439.0
Integumentary System	Skin	966.0	504.0
Exocrine System	Mammary gland	750.0	504.0
Nervous System	Nervous System	744.0	504.0
Endocrine System	Adipose tissue	664.0	504.0
Endocrine System	Thyroid gland	660.0	504.0
Endocrine System	Adrenal gland	476.0	439.0
Endocrine System	Pituitary gland	392.0	439.0
Respiratory System	Lung	572.0	504.0
Visual System	Eye	161.0	173.0
Olfactory System	Nervous System	102.0	155.0
