system	organ	exp	control
Cardiovascular System	Heart	8360.0	2280.0
Cardiovascular System	Vascular	4190.0	2280.0
Musculoskeletal System	Skeletal Muscle	7980.0	2280.0
Musculoskeletal System	Joint	2200.0	2280.0
Endocrine System	Adrenal gland	6370.0	2280.0
Endocrine System	Pituitary gland	3980.0	2280.0
Endocrine System	Adipose tissue	3620.0	2280.0
Endocrine System	Thyroid gland	3000.0	2280.0
Nervous System	Nervous System	4180.0	2280.0
Immune System	Immune System	3960.0	2280.0
Urogenital System	Testes	3540.0	2280.0
Urogenital System	Ovary	3150.0	2280.0
Urogenital System	Bladder	2720.0	2280.0
Urogenital System	Kidney	2500.0	2280.0
Urogenital System	Uterus	2310.0	2280.0
Urogenital System	Vagina	2230.0	2280.0
Urogenital System	Urethra	2090.0	2280.0
Urogenital System	Placenta	1940.0	2280.0
Urogenital System	Prostate gland	1530.0	2280.0
Urogenital System	Penis	1390.0	2280.0
Digestive System	Tongue	3260.0	2280.0
Digestive System	Liver	3150.0	2280.0
Digestive System	Salivary gland	2700.0	2280.0
Digestive System	Small intestine	2460.0	2280.0
Digestive System	Colon	2400.0	2280.0
Digestive System	Stomach	2290.0	2280.0
Digestive System	Pancreas	2270.0	2280.0
Digestive System	Esophagus	2090.0	2280.0
Digestive System	Peritoneum	1030.0	2280.0
Respiratory System	Lung	2990.0	2280.0
Olfactory System	Nervous System	2660.0	2280.0
Exocrine System	Mammary gland	2490.0	2280.0
Integumentary System	Skin	1530.0	2280.0
Visual System	Eye	1480.0	2280.0
