system	organ	exp	control
Nervous System	Nervous System	8110.0	888.0
Immune System	Immune System	7170.0	888.0
Urogenital System	Kidney	2300.0	888.0
Urogenital System	Uterus	1660.0	888.0
Urogenital System	Ovary	1050.0	888.0
Urogenital System	Vagina	1020.0	888.0
Urogenital System	Testes	884.0	888.0
Urogenital System	Prostate gland	874.0	888.0
Urogenital System	Urethra	868.0	888.0
Urogenital System	Bladder	657.0	888.0
Urogenital System	Placenta	472.0	888.0
Urogenital System	Penis	471.0	888.0
Digestive System	Peritoneum	1870.0	888.0
Digestive System	Small intestine	1300.0	888.0
Digestive System	Stomach	1270.0	888.0
Digestive System	Tongue	1230.0	888.0
Digestive System	Salivary gland	1050.0	888.0
Digestive System	Liver	949.0	888.0
Digestive System	Colon	853.0	888.0
Digestive System	Pancreas	809.0	888.0
Digestive System	Esophagus	565.0	888.0
Endocrine System	Thyroid gland	1790.0	888.0
Endocrine System	Adipose tissue	1170.0	888.0
Endocrine System	Pituitary gland	1010.0	888.0
Endocrine System	Adrenal gland	905.0	888.0
Musculoskeletal System	Skeletal Muscle	1520.0	888.0
Musculoskeletal System	Joint	631.0	888.0
Cardiovascular System	Heart	1230.0	888.0
Cardiovascular System	Vascular	695.0	888.0
Exocrine System	Mammary gland	1030.0	888.0
Respiratory System	Lung	976.0	888.0
Olfactory System	Nervous System	662.0	888.0
Integumentary System	Skin	576.0	888.0
Visual System	Eye	523.0	888.0
