system	organ	exp	control
Immune System	Immune System	35100.0	1170.0
Digestive System	Tongue	9760.0	1170.0
Digestive System	Stomach	7100.0	1170.0
Digestive System	Colon	4550.0	1170.0
Digestive System	Small intestine	4120.0	1170.0
Digestive System	Peritoneum	2770.0	1170.0
Digestive System	Liver	2580.0	1170.0
Digestive System	Pancreas	1040.0	733.0
Digestive System	Salivary gland	866.0	733.0
Digestive System	Esophagus	832.0	1170.0
Respiratory System	Lung	9470.0	1170.0
Endocrine System	Adipose tissue	5300.0	1170.0
Endocrine System	Thyroid gland	1370.0	1170.0
Endocrine System	Adrenal gland	990.0	1170.0
Endocrine System	Pituitary gland	434.0	733.0
Urogenital System	Vagina	3560.0	1170.0
Urogenital System	Uterus	2550.0	1170.0
Urogenital System	Bladder	1530.0	733.0
Urogenital System	Urethra	1480.0	1170.0
Urogenital System	Penis	1190.0	1170.0
Urogenital System	Ovary	1160.0	1170.0
Urogenital System	Testes	1100.0	733.0
Urogenital System	Kidney	877.0	1170.0
Urogenital System	Placenta	847.0	733.0
Urogenital System	Prostate gland	731.0	1170.0
Cardiovascular System	Vascular	3120.0	1170.0
Cardiovascular System	Heart	3100.0	1170.0
Nervous System	Nervous System	2820.0	1170.0
Exocrine System	Mammary gland	2720.0	1170.0
Musculoskeletal System	Joint	2420.0	1170.0
Musculoskeletal System	Skeletal Muscle	1620.0	733.0
Olfactory System	Nervous System	1160.0	733.0
Integumentary System	Skin	981.0	1170.0
Visual System	Eye	520.0	733.0
