system	organ	exp	control
Digestive System	Salivary gland	12000.0	3400.0
Digestive System	Colon	8820.0	3400.0
Digestive System	Small intestine	7800.0	3400.0
Digestive System	Esophagus	7670.0	3400.0
Digestive System	Peritoneum	6160.0	3400.0
Digestive System	Stomach	5380.0	3400.0
Digestive System	Liver	5260.0	3400.0
Digestive System	Tongue	4710.0	3400.0
Digestive System	Pancreas	2940.0	3400.0
Exocrine System	Mammary gland	11300.0	3400.0
Urogenital System	Prostate gland	10500.0	3400.0
Urogenital System	Vagina	9620.0	3400.0
Urogenital System	Uterus	8810.0	3400.0
Urogenital System	Placenta	8640.0	3400.0
Urogenital System	Penis	7220.0	3400.0
Urogenital System	Kidney	4970.0	3400.0
Urogenital System	Urethra	4580.0	3400.0
Urogenital System	Bladder	3400.0	3400.0
Urogenital System	Ovary	2360.0	3400.0
Urogenital System	Testes	1200.0	3400.0
Integumentary System	Skin	9310.0	3400.0
Endocrine System	Adipose tissue	8660.0	3400.0
Endocrine System	Thyroid gland	4110.0	3400.0
Endocrine System	Pituitary gland	3530.0	3400.0
Endocrine System	Adrenal gland	1160.0	3400.0
Visual System	Eye	8070.0	3400.0
Respiratory System	Lung	6450.0	3400.0
Nervous System	Nervous System	4620.0	3400.0
Cardiovascular System	Heart	4290.0	3400.0
Cardiovascular System	Vascular	3960.0	3400.0
Musculoskeletal System	Joint	3360.0	3400.0
Musculoskeletal System	Skeletal Muscle	2460.0	3400.0
Immune System	Immune System	3040.0	3400.0
Olfactory System	Nervous System	1050.0	3400.0
