system	organ	exp	control
Cardiovascular System	Heart	5230.0	1500.0
Cardiovascular System	Vascular	2590.0	1500.0
Nervous System	Nervous System	4710.0	1500.0
Endocrine System	Thyroid gland	4280.0	1500.0
Endocrine System	Adipose tissue	3560.0	1500.0
Endocrine System	Pituitary gland	1850.0	1370.0
Endocrine System	Adrenal gland	1700.0	1500.0
Musculoskeletal System	Joint	3960.0	1500.0
Musculoskeletal System	Skeletal Muscle	3450.0	1500.0
Respiratory System	Lung	3050.0	1500.0
Digestive System	Small intestine	2950.0	1500.0
Digestive System	Stomach	2550.0	1370.0
Digestive System	Colon	2220.0	1370.0
Digestive System	Peritoneum	1850.0	1370.0
Digestive System	Tongue	1820.0	1370.0
Digestive System	Esophagus	1380.0	1370.0
Digestive System	Salivary gland	1180.0	1370.0
Digestive System	Liver	1080.0	1500.0
Digestive System	Pancreas	947.0	1370.0
Exocrine System	Mammary gland	2530.0	1500.0
Urogenital System	Kidney	2430.0	1500.0
Urogenital System	Bladder	2410.0	1500.0
Urogenital System	Placenta	1950.0	1500.0
Urogenital System	Urethra	1930.0	1370.0
Urogenital System	Uterus	1910.0	1500.0
Urogenital System	Prostate gland	1740.0	1500.0
Urogenital System	Testes	1440.0	1370.0
Urogenital System	Penis	1410.0	1370.0
Urogenital System	Vagina	1370.0	1370.0
Urogenital System	Ovary	1340.0	1370.0
Immune System	Immune System	2180.0	1500.0
Integumentary System	Skin	1850.0	1500.0
Visual System	Eye	661.0	1370.0
Olfactory System	Nervous System	180.0	1370.0
