system	organ	exp	control
Digestive System	Colon	2950.0	570.0
Digestive System	Tongue	1240.0	520.0
Digestive System	Salivary gland	1150.0	570.0
Digestive System	Liver	999.0	570.0
Digestive System	Pancreas	864.0	570.0
Digestive System	Stomach	596.0	570.0
Digestive System	Small intestine	542.0	570.0
Digestive System	Esophagus	467.0	520.0
Digestive System	Peritoneum	320.0	520.0
Nervous System	Nervous System	2760.0	570.0
Cardiovascular System	Heart	2260.0	570.0
Cardiovascular System	Vascular	502.0	570.0
Musculoskeletal System	Skeletal Muscle	1650.0	570.0
Musculoskeletal System	Joint	395.0	570.0
Visual System	Eye	1370.0	570.0
Endocrine System	Thyroid gland	1290.0	570.0
Endocrine System	Adrenal gland	1210.0	570.0
Endocrine System	Pituitary gland	584.0	520.0
Endocrine System	Adipose tissue	409.0	570.0
Respiratory System	Lung	1250.0	570.0
Urogenital System	Uterus	1160.0	570.0
Urogenital System	Kidney	1140.0	570.0
Urogenital System	Testes	1080.0	520.0
Urogenital System	Placenta	966.0	570.0
Urogenital System	Ovary	695.0	570.0
Urogenital System	Bladder	676.0	570.0
Urogenital System	Vagina	592.0	520.0
Urogenital System	Prostate gland	551.0	570.0
Urogenital System	Urethra	492.0	570.0
Urogenital System	Penis	282.0	570.0
Olfactory System	Nervous System	1150.0	570.0
Immune System	Immune System	1110.0	570.0
Exocrine System	Mammary gland	730.0	570.0
Integumentary System	Skin	459.0	520.0
