system	organ	exp	control
Nervous System	Nervous System	13700.0	2210.0
Musculoskeletal System	Skeletal Muscle	10200.0	2210.0
Musculoskeletal System	Joint	1120.0	2210.0
Digestive System	Tongue	9210.0	2210.0
Digestive System	Colon	8560.0	2210.0
Digestive System	Liver	4330.0	2210.0
Digestive System	Pancreas	3960.0	2210.0
Digestive System	Salivary gland	2600.0	2210.0
Digestive System	Stomach	1500.0	2210.0
Digestive System	Esophagus	1420.0	2210.0
Digestive System	Small intestine	1360.0	2210.0
Digestive System	Peritoneum	1080.0	2210.0
Cardiovascular System	Heart	7930.0	2210.0
Cardiovascular System	Vascular	1910.0	2210.0
Urogenital System	Testes	6530.0	2210.0
Urogenital System	Kidney	4660.0	2210.0
Urogenital System	Uterus	4310.0	2210.0
Urogenital System	Bladder	3670.0	2210.0
Urogenital System	Vagina	2790.0	2210.0
Urogenital System	Placenta	2490.0	2210.0
Urogenital System	Ovary	2180.0	2210.0
Urogenital System	Penis	1440.0	2210.0
Urogenital System	Prostate gland	1280.0	2210.0
Urogenital System	Urethra	925.0	2210.0
Endocrine System	Adrenal gland	5940.0	2210.0
Endocrine System	Thyroid gland	5190.0	2210.0
Endocrine System	Pituitary gland	2130.0	2210.0
Endocrine System	Adipose tissue	1530.0	2210.0
Olfactory System	Nervous System	5250.0	2210.0
Immune System	Immune System	4560.0	2210.0
Respiratory System	Lung	4010.0	2210.0
Visual System	Eye	2500.0	2210.0
Integumentary System	Skin	2160.0	2210.0
Exocrine System	Mammary gland	1290.0	2210.0
