system	organ	exp	control
Immune System	Immune System	11700.0	2460.0
Cardiovascular System	Vascular	8280.0	2460.0
Cardiovascular System	Heart	3770.0	2460.0
Urogenital System	Urethra	5580.0	2460.0
Urogenital System	Uterus	4590.0	2460.0
Urogenital System	Vagina	3860.0	2460.0
Urogenital System	Prostate gland	3290.0	2460.0
Urogenital System	Bladder	2970.0	2460.0
Urogenital System	Ovary	2870.0	2460.0
Urogenital System	Penis	2630.0	2460.0
Urogenital System	Kidney	2490.0	2460.0
Urogenital System	Testes	1760.0	2460.0
Urogenital System	Placenta	1580.0	2460.0
Musculoskeletal System	Joint	4990.0	2460.0
Musculoskeletal System	Skeletal Muscle	2290.0	2460.0
Digestive System	Stomach	4390.0	2460.0
Digestive System	Peritoneum	4120.0	2460.0
Digestive System	Colon	3630.0	2460.0
Digestive System	Small intestine	3160.0	2460.0
Digestive System	Salivary gland	3110.0	2460.0
Digestive System	Tongue	2920.0	2460.0
Digestive System	Esophagus	2770.0	2460.0
Digestive System	Liver	1910.0	2460.0
Digestive System	Pancreas	1310.0	2460.0
Endocrine System	Adipose tissue	3700.0	2460.0
Endocrine System	Adrenal gland	2290.0	2460.0
Endocrine System	Thyroid gland	2100.0	2460.0
Endocrine System	Pituitary gland	2030.0	2460.0
Exocrine System	Mammary gland	3480.0	2460.0
Respiratory System	Lung	3050.0	2460.0
Visual System	Eye	2990.0	2460.0
Nervous System	Nervous System	2930.0	2460.0
Integumentary System	Skin	2700.0	2460.0
Olfactory System	Nervous System	2440.0	2460.0
