system	organ	exp	control
Nervous System	Nervous System	3130.0	185.0
Urogenital System	Uterus	1560.0	185.0
Urogenital System	Prostate gland	495.0	158.0
Urogenital System	Testes	211.0	185.0
Urogenital System	Kidney	205.0	185.0
Urogenital System	Placenta	197.0	185.0
Urogenital System	Vagina	187.0	185.0
Urogenital System	Ovary	184.0	185.0
Urogenital System	Bladder	182.0	158.0
Urogenital System	Urethra	177.0	158.0
Urogenital System	Penis	169.0	185.0
Endocrine System	Pituitary gland	291.0	158.0
Endocrine System	Adrenal gland	275.0	185.0
Endocrine System	Adipose tissue	261.0	185.0
Endocrine System	Thyroid gland	203.0	185.0
Digestive System	Colon	257.0	185.0
Digestive System	Tongue	249.0	185.0
Digestive System	Liver	198.0	185.0
Digestive System	Pancreas	197.0	185.0
Digestive System	Salivary gland	193.0	185.0
Digestive System	Stomach	183.0	185.0
Digestive System	Esophagus	177.0	185.0
Digestive System	Small intestine	176.0	185.0
Digestive System	Peritoneum	171.0	185.0
Cardiovascular System	Heart	232.0	185.0
Cardiovascular System	Vascular	189.0	185.0
Olfactory System	Nervous System	228.0	185.0
Immune System	Immune System	224.0	185.0
Musculoskeletal System	Skeletal Muscle	214.0	185.0
Musculoskeletal System	Joint	200.0	185.0
Exocrine System	Mammary gland	190.0	185.0
Respiratory System	Lung	189.0	185.0
Integumentary System	Skin	178.0	185.0
Visual System	Eye	137.0	185.0
