system	organ	exp	control
Nervous System	Nervous System	3540.0	144.0
Urogenital System	Uterus	307.0	144.0
Urogenital System	Vagina	161.0	144.0
Urogenital System	Kidney	160.0	144.0
Urogenital System	Testes	152.0	144.0
Urogenital System	Penis	137.0	144.0
Urogenital System	Prostate gland	136.0	144.0
Urogenital System	Ovary	134.0	144.0
Urogenital System	Urethra	133.0	144.0
Urogenital System	Placenta	127.0	144.0
Urogenital System	Bladder	110.0	144.0
Immune System	Immune System	208.0	144.0
Endocrine System	Adipose tissue	178.0	144.0
Endocrine System	Pituitary gland	160.0	144.0
Endocrine System	Adrenal gland	151.0	144.0
Endocrine System	Thyroid gland	147.0	144.0
Digestive System	Pancreas	175.0	144.0
Digestive System	Colon	172.0	144.0
Digestive System	Salivary gland	152.0	144.0
Digestive System	Stomach	146.0	144.0
Digestive System	Small intestine	144.0	144.0
Digestive System	Liver	143.0	144.0
Digestive System	Peritoneum	141.0	144.0
Digestive System	Tongue	140.0	144.0
Digestive System	Esophagus	137.0	144.0
Cardiovascular System	Heart	168.0	144.0
Cardiovascular System	Vascular	165.0	144.0
Musculoskeletal System	Skeletal Muscle	161.0	144.0
Musculoskeletal System	Joint	138.0	144.0
Exocrine System	Mammary gland	161.0	144.0
Respiratory System	Lung	147.0	144.0
Integumentary System	Skin	126.0	144.0
Olfactory System	Nervous System	108.0	99.8
Visual System	Eye	85.2	99.8
