system	organ	exp	control
Immune System	Immune System	35400.0	4440.0
Digestive System	Colon	18600.0	4440.0
Digestive System	Salivary gland	15900.0	4440.0
Digestive System	Stomach	12800.0	4440.0
Digestive System	Small intestine	10200.0	4440.0
Digestive System	Tongue	6530.0	4440.0
Digestive System	Esophagus	4360.0	4440.0
Digestive System	Pancreas	4280.0	4440.0
Digestive System	Liver	4200.0	4440.0
Digestive System	Peritoneum	2530.0	4440.0
Endocrine System	Adrenal gland	18200.0	4440.0
Endocrine System	Adipose tissue	8740.0	4440.0
Endocrine System	Thyroid gland	5460.0	4440.0
Endocrine System	Pituitary gland	844.0	4440.0
Urogenital System	Ovary	16400.0	4440.0
Urogenital System	Vagina	14400.0	4440.0
Urogenital System	Penis	7730.0	4440.0
Urogenital System	Uterus	7150.0	4440.0
Urogenital System	Kidney	6980.0	4440.0
Urogenital System	Urethra	5200.0	4440.0
Urogenital System	Bladder	4440.0	4440.0
Urogenital System	Placenta	3980.0	4440.0
Urogenital System	Testes	3890.0	4440.0
Urogenital System	Prostate gland	3460.0	4440.0
Visual System	Eye	13700.0	4440.0
Nervous System	Nervous System	11500.0	4440.0
Cardiovascular System	Heart	8530.0	4440.0
Cardiovascular System	Vascular	4330.0	4440.0
Respiratory System	Lung	7270.0	4440.0
Olfactory System	Nervous System	7160.0	4440.0
Musculoskeletal System	Skeletal Muscle	6980.0	4440.0
Musculoskeletal System	Joint	5230.0	4440.0
Exocrine System	Mammary gland	5430.0	4440.0
Integumentary System	Skin	5060.0	4440.0
