system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	25500.0	4060.0
Musculoskeletal System	Joint	2130.0	4060.0
Nervous System	Nervous System	23000.0	4060.0
Cardiovascular System	Heart	20500.0	4060.0
Cardiovascular System	Vascular	4760.0	4060.0
Urogenital System	Testes	13700.0	4060.0
Urogenital System	Kidney	9000.0	4060.0
Urogenital System	Uterus	7420.0	4060.0
Urogenital System	Bladder	5620.0	4060.0
Urogenital System	Ovary	4030.0	4060.0
Urogenital System	Placenta	3670.0	4060.0
Urogenital System	Vagina	2920.0	4060.0
Urogenital System	Prostate gland	2370.0	4060.0
Urogenital System	Penis	1900.0	4060.0
Urogenital System	Urethra	1660.0	4060.0
Digestive System	Tongue	13200.0	4060.0
Digestive System	Colon	12100.0	4060.0
Digestive System	Pancreas	7020.0	4060.0
Digestive System	Small intestine	6750.0	4060.0
Digestive System	Liver	6630.0	4060.0
Digestive System	Salivary gland	5480.0	4060.0
Digestive System	Stomach	3850.0	4060.0
Digestive System	Esophagus	3560.0	4060.0
Digestive System	Peritoneum	2160.0	4060.0
Olfactory System	Nervous System	11700.0	4060.0
Endocrine System	Adrenal gland	11000.0	4060.0
Endocrine System	Thyroid gland	9160.0	4060.0
Endocrine System	Pituitary gland	4240.0	4060.0
Endocrine System	Adipose tissue	3080.0	4060.0
Immune System	Immune System	7760.0	4060.0
Respiratory System	Lung	6340.0	4060.0
Integumentary System	Skin	3330.0	4060.0
Visual System	Eye	3000.0	4060.0
Exocrine System	Mammary gland	2930.0	4060.0
