system	organ	exp	control
Immune System	Immune System	3810.0	1700.0
Endocrine System	Adipose tissue	3420.0	1700.0
Endocrine System	Adrenal gland	2360.0	1700.0
Endocrine System	Thyroid gland	2160.0	1700.0
Endocrine System	Pituitary gland	2010.0	1700.0
Cardiovascular System	Vascular	3350.0	1700.0
Cardiovascular System	Heart	2880.0	1700.0
Exocrine System	Mammary gland	3230.0	1700.0
Digestive System	Stomach	2690.0	1700.0
Digestive System	Liver	2480.0	1700.0
Digestive System	Pancreas	2360.0	1700.0
Digestive System	Tongue	2140.0	1700.0
Digestive System	Small intestine	2030.0	1700.0
Digestive System	Esophagus	1900.0	1700.0
Digestive System	Colon	1640.0	1700.0
Digestive System	Salivary gland	1490.0	1700.0
Digestive System	Peritoneum	991.0	1700.0
Musculoskeletal System	Skeletal Muscle	2580.0	1700.0
Musculoskeletal System	Joint	2160.0	1700.0
Urogenital System	Bladder	2500.0	1700.0
Urogenital System	Uterus	2050.0	1700.0
Urogenital System	Urethra	1960.0	1700.0
Urogenital System	Placenta	1840.0	1700.0
Urogenital System	Testes	1750.0	1700.0
Urogenital System	Vagina	1640.0	1700.0
Urogenital System	Kidney	1550.0	1700.0
Urogenital System	Ovary	1470.0	1700.0
Urogenital System	Penis	1130.0	1700.0
Urogenital System	Prostate gland	896.0	1700.0
Nervous System	Nervous System	2000.0	1700.0
Respiratory System	Lung	1860.0	1700.0
Integumentary System	Skin	1850.0	1700.0
Olfactory System	Nervous System	1470.0	1700.0
Visual System	Eye	1030.0	1700.0
