system	organ	exp	control
Exocrine System	Mammary gland	3770.0	1220.0
Urogenital System	Uterus	3580.0	1220.0
Urogenital System	Vagina	2990.0	1220.0
Urogenital System	Urethra	2630.0	1220.0
Urogenital System	Penis	2200.0	1220.0
Urogenital System	Ovary	1500.0	1220.0
Urogenital System	Testes	1430.0	1220.0
Urogenital System	Kidney	1420.0	1220.0
Urogenital System	Prostate gland	1250.0	1220.0
Urogenital System	Bladder	1120.0	1220.0
Urogenital System	Placenta	462.0	1220.0
Endocrine System	Adipose tissue	3150.0	1220.0
Endocrine System	Thyroid gland	1370.0	1220.0
Endocrine System	Pituitary gland	1040.0	1220.0
Endocrine System	Adrenal gland	557.0	1220.0
Digestive System	Colon	2500.0	1220.0
Digestive System	Esophagus	1870.0	1220.0
Digestive System	Small intestine	1840.0	1220.0
Digestive System	Salivary gland	1790.0	1220.0
Digestive System	Peritoneum	1780.0	1220.0
Digestive System	Tongue	1570.0	1220.0
Digestive System	Stomach	1560.0	1220.0
Digestive System	Liver	1020.0	1220.0
Digestive System	Pancreas	878.0	1220.0
Immune System	Immune System	2430.0	1220.0
Cardiovascular System	Vascular	1920.0	1220.0
Cardiovascular System	Heart	1740.0	1220.0
Integumentary System	Skin	1770.0	1220.0
Respiratory System	Lung	1680.0	1220.0
Visual System	Eye	1590.0	1220.0
Nervous System	Nervous System	1540.0	1220.0
Musculoskeletal System	Joint	1470.0	1220.0
Musculoskeletal System	Skeletal Muscle	1310.0	1220.0
Olfactory System	Nervous System	409.0	1220.0
