system	organ	exp	control
Nervous System	Nervous System	5070.0	158.0
Immune System	Immune System	378.0	158.0
Digestive System	Colon	334.0	158.0
Digestive System	Salivary gland	207.0	158.0
Digestive System	Peritoneum	180.0	158.0
Digestive System	Small intestine	172.0	158.0
Digestive System	Tongue	167.0	158.0
Digestive System	Stomach	162.0	158.0
Digestive System	Pancreas	153.0	158.0
Digestive System	Liver	153.0	158.0
Digestive System	Esophagus	147.0	158.0
Cardiovascular System	Vascular	239.0	158.0
Cardiovascular System	Heart	181.0	158.0
Musculoskeletal System	Skeletal Muscle	235.0	158.0
Musculoskeletal System	Joint	167.0	158.0
Urogenital System	Testes	192.0	158.0
Urogenital System	Uterus	182.0	158.0
Urogenital System	Kidney	177.0	158.0
Urogenital System	Penis	172.0	158.0
Urogenital System	Prostate gland	163.0	158.0
Urogenital System	Placenta	161.0	158.0
Urogenital System	Ovary	156.0	158.0
Urogenital System	Vagina	149.0	158.0
Urogenital System	Bladder	141.0	138.0
Urogenital System	Urethra	137.0	158.0
Endocrine System	Adipose tissue	174.0	158.0
Endocrine System	Thyroid gland	173.0	158.0
Endocrine System	Adrenal gland	147.0	158.0
Endocrine System	Pituitary gland	139.0	158.0
Integumentary System	Skin	169.0	158.0
Exocrine System	Mammary gland	166.0	158.0
Respiratory System	Lung	160.0	158.0
Olfactory System	Nervous System	136.0	138.0
Visual System	Eye	135.0	138.0
