system	organ	exp	control
Exocrine System	Mammary gland	5200.0	2510.0
Digestive System	Peritoneum	3810.0	2510.0
Digestive System	Colon	3320.0	2510.0
Digestive System	Stomach	3090.0	2510.0
Digestive System	Esophagus	2830.0	2510.0
Digestive System	Salivary gland	2640.0	2510.0
Digestive System	Tongue	2540.0	2510.0
Digestive System	Small intestine	2420.0	2510.0
Digestive System	Liver	2160.0	2510.0
Digestive System	Pancreas	1330.0	2510.0
Immune System	Immune System	3630.0	2510.0
Cardiovascular System	Vascular	3430.0	2510.0
Cardiovascular System	Heart	2100.0	2510.0
Urogenital System	Uterus	3220.0	2510.0
Urogenital System	Ovary	3170.0	2510.0
Urogenital System	Vagina	2950.0	2510.0
Urogenital System	Bladder	2680.0	2510.0
Urogenital System	Placenta	2680.0	1940.0
Urogenital System	Urethra	2660.0	2510.0
Urogenital System	Kidney	2640.0	2510.0
Urogenital System	Penis	2500.0	2510.0
Urogenital System	Prostate gland	2380.0	2510.0
Urogenital System	Testes	1640.0	2510.0
Integumentary System	Skin	3050.0	2510.0
Endocrine System	Adipose tissue	2980.0	2510.0
Endocrine System	Adrenal gland	2520.0	2510.0
Endocrine System	Thyroid gland	2340.0	2510.0
Endocrine System	Pituitary gland	1980.0	2510.0
Musculoskeletal System	Joint	2840.0	2510.0
Musculoskeletal System	Skeletal Muscle	2250.0	2510.0
Nervous System	Nervous System	2350.0	2510.0
Respiratory System	Lung	2290.0	2510.0
Olfactory System	Nervous System	289.0	240.0
Visual System	Eye	272.0	240.0
