system	organ	exp	control
Nervous System	Nervous System	1480.0	208.0
Digestive System	Small intestine	1140.0	208.0
Digestive System	Colon	585.0	208.0
Digestive System	Stomach	286.0	208.0
Digestive System	Pancreas	271.0	208.0
Digestive System	Peritoneum	256.0	208.0
Digestive System	Liver	223.0	208.0
Digestive System	Tongue	218.0	208.0
Digestive System	Esophagus	199.0	208.0
Digestive System	Salivary gland	196.0	208.0
Immune System	Immune System	416.0	208.0
Respiratory System	Lung	348.0	208.0
Musculoskeletal System	Skeletal Muscle	293.0	208.0
Musculoskeletal System	Joint	248.0	208.0
Cardiovascular System	Heart	252.0	208.0
Cardiovascular System	Vascular	244.0	208.0
Exocrine System	Mammary gland	245.0	208.0
Urogenital System	Uterus	241.0	208.0
Urogenital System	Ovary	210.0	208.0
Urogenital System	Vagina	209.0	208.0
Urogenital System	Placenta	206.0	208.0
Urogenital System	Penis	205.0	208.0
Urogenital System	Testes	200.0	208.0
Urogenital System	Urethra	198.0	208.0
Urogenital System	Prostate gland	194.0	208.0
Urogenital System	Kidney	183.0	208.0
Urogenital System	Bladder	171.0	102.0
Endocrine System	Adipose tissue	230.0	208.0
Endocrine System	Thyroid gland	218.0	208.0
Endocrine System	Pituitary gland	210.0	208.0
Endocrine System	Adrenal gland	188.0	208.0
Visual System	Eye	208.0	208.0
Integumentary System	Skin	199.0	208.0
Olfactory System	Nervous System	176.0	208.0
