system	organ	exp	control
Immune System	Immune System	8730.0	700.0
Endocrine System	Thyroid gland	2940.0	700.0
Endocrine System	Adipose tissue	852.0	700.0
Endocrine System	Adrenal gland	454.0	664.0
Endocrine System	Pituitary gland	340.0	664.0
Digestive System	Colon	2330.0	700.0
Digestive System	Tongue	2070.0	664.0
Digestive System	Small intestine	1840.0	700.0
Digestive System	Stomach	1510.0	700.0
Digestive System	Peritoneum	1250.0	700.0
Digestive System	Esophagus	989.0	664.0
Digestive System	Liver	870.0	700.0
Digestive System	Salivary gland	866.0	664.0
Digestive System	Pancreas	768.0	664.0
Urogenital System	Uterus	1610.0	700.0
Urogenital System	Kidney	1580.0	700.0
Urogenital System	Penis	1120.0	700.0
Urogenital System	Vagina	824.0	700.0
Urogenital System	Testes	809.0	700.0
Urogenital System	Bladder	808.0	664.0
Urogenital System	Urethra	725.0	700.0
Urogenital System	Placenta	509.0	664.0
Urogenital System	Prostate gland	437.0	700.0
Urogenital System	Ovary	409.0	664.0
Musculoskeletal System	Joint	1400.0	700.0
Musculoskeletal System	Skeletal Muscle	636.0	664.0
Respiratory System	Lung	1180.0	700.0
Exocrine System	Mammary gland	1170.0	700.0
Integumentary System	Skin	858.0	700.0
Nervous System	Nervous System	837.0	700.0
Cardiovascular System	Vascular	832.0	700.0
Cardiovascular System	Heart	654.0	664.0
Visual System	Eye	484.0	664.0
Olfactory System	Nervous System	453.0	664.0
