system	organ	exp	control
Cardiovascular System	Heart	2370.0	517.0
Cardiovascular System	Vascular	737.0	517.0
Nervous System	Nervous System	2130.0	517.0
Musculoskeletal System	Skeletal Muscle	1820.0	517.0
Musculoskeletal System	Joint	336.0	517.0
Immune System	Immune System	1620.0	517.0
Digestive System	Tongue	1300.0	517.0
Digestive System	Colon	1150.0	517.0
Digestive System	Liver	828.0	517.0
Digestive System	Pancreas	748.0	517.0
Digestive System	Small intestine	661.0	517.0
Digestive System	Salivary gland	649.0	517.0
Digestive System	Stomach	441.0	517.0
Digestive System	Peritoneum	432.0	517.0
Digestive System	Esophagus	319.0	517.0
Urogenital System	Testes	1200.0	517.0
Urogenital System	Uterus	1080.0	517.0
Urogenital System	Kidney	940.0	517.0
Urogenital System	Bladder	647.0	517.0
Urogenital System	Placenta	590.0	517.0
Urogenital System	Ovary	484.0	517.0
Urogenital System	Vagina	453.0	517.0
Urogenital System	Prostate gland	327.0	517.0
Urogenital System	Penis	303.0	180.0
Urogenital System	Urethra	272.0	517.0
Endocrine System	Adrenal gland	1150.0	517.0
Endocrine System	Thyroid gland	934.0	517.0
Endocrine System	Pituitary gland	519.0	517.0
Endocrine System	Adipose tissue	503.0	517.0
Olfactory System	Nervous System	955.0	517.0
Respiratory System	Lung	659.0	517.0
Exocrine System	Mammary gland	479.0	517.0
Integumentary System	Skin	454.0	517.0
Visual System	Eye	420.0	517.0
